locus_tag	ftype	length_bp	gene	EC_number	COG	product
MAG128_00001	CDS	186				hypothetical protein
MAG128_00002	CDS	1824	typA		COG1217	GTP-binding protein TypA/BipA
MAG128_00003	CDS	1014	glnII	6.3.1.2	COG0174	Glutamine synthetase
MAG128_00004	CDS	1071	glnL	2.7.13.3	COG3852	Sensory histidine kinase/phosphatase NtrB
MAG128_00005	CDS	1413	glnG		COG2204	DNA-binding transcriptional regulator NtrC
MAG128_00006	CDS	150				hypothetical protein
MAG128_00007	CDS	468	trmL	2.1.1.207	COG0219	tRNA (cytidine(34)-2'-O)-methyltransferase
MAG128_00008	CDS	123				hypothetical protein
MAG128_00009	CDS	510	secB		COG1952	Protein-export protein SecB
MAG128_00010	CDS	417	yibN		COG0607	putative protein YibN
MAG128_00011	CDS	1530	gpmI	5.4.2.12	COG0696	2,3-bisphosphoglycerate-independent phosphoglycerate mutase
MAG128_00012	CDS	1140	envC		COG4942	Murein hydrolase activator EnvC
MAG128_00013	CDS	1455		3.4.21.-		putative CtpA-like serine protease
MAG128_00014	CDS	777	hisF	4.1.3.-	COG0107	Imidazole glycerol phosphate synthase subunit HisF
MAG128_00015	CDS	756	hisA	5.3.1.16	COG0106	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase
MAG128_00016	CDS	666	hisH	2.4.2.-	COG0118	Imidazole glycerol phosphate synthase subunit HisH
MAG128_00017	CDS	600	hisB		COG0131	Histidine biosynthesis bifunctional protein HisB
MAG128_00018	CDS	2055				hypothetical protein
MAG128_00019	CDS	1050	mutY	3.2.2.-	COG1194	Adenine DNA glycosylase
MAG128_00020	CDS	180				hypothetical protein
MAG128_00021	CDS	981				hypothetical protein
MAG128_00022	CDS	3375	dnaE2	2.7.7.7		Error-prone DNA polymerase
MAG128_00023	CDS	1515	imuB			Protein ImuB
MAG128_00024	CDS	921	sulA			Cell division inhibitor SulA
MAG128_00025	CDS	696	ygfA	6.3.3.2	COG0212	5-formyltetrahydrofolate cyclo-ligase
MAG128_00026	CDS	315	zapA		COG3027	Cell division protein ZapA
MAG128_00027	CDS	207				hypothetical protein
MAG128_00028	CDS	1335	pepP	3.4.11.9	COG0006	Xaa-Pro aminopeptidase
MAG128_00029	CDS	1260	ubiH	1.14.13.-	COG0654	2-octaprenyl-6-methoxyphenol hydroxylase
MAG128_00030	CDS	408				hypothetical protein
MAG128_00031	CDS	465		4.2.1.17	COG2030	putative enoyl-CoA hydratase 1
