locus_tag	ftype	length_bp	gene	EC_number	COG	product
MAG248_00001	CDS	3354	cckA_1			Sensor kinase CckA
MAG248_00002	CDS	1623		2.1.3.1	COG4799	Methylmalonyl-CoA carboxyltransferase 12S subunit
MAG248_00003	CDS	963	ephA_1	3.3.2.10		Epoxide hydrolase A
MAG248_00004	CDS	558				hypothetical protein
MAG248_00005	CDS	744	ydfG_1	1.1.1.381	COG4221	NADP-dependent 3-hydroxy acid dehydrogenase YdfG
MAG248_00006	CDS	546				hypothetical protein
MAG248_00007	CDS	594				hypothetical protein
MAG248_00008	CDS	234	gsiD_1		COG1173	Glutathione transport system permease protein GsiD
MAG248_00009	CDS	978	oppF_1		COG4608	Oligopeptide transport ATP-binding protein OppF
MAG248_00010	CDS	981	oppD_1		COG0444	Oligopeptide transport ATP-binding protein OppD
MAG248_00011	CDS	1644	gsiB_1		COG0747	Glutathione-binding protein GsiB
MAG248_00012	CDS	768				hypothetical protein
MAG248_00013	CDS	972	argK	3.6.5.-	COG1703	GTPase ArgK
MAG248_00014	CDS	408		5.4.99.-		Pivalyl-CoA mutase small subunit
MAG248_00015	CDS	399				hypothetical protein
MAG248_00016	CDS	762	glpQ	3.1.4.46	COG0584	Glycerophosphodiester phosphodiesterase
MAG248_00017	CDS	792	fcbB2_1	3.8.1.7		4-chlorobenzoyl coenzyme A dehalogenase-2
MAG248_00018	CDS	885	linB	3.8.1.5		Haloalkane dehalogenase
MAG248_00019	CDS	369				hypothetical protein
MAG248_00020	CDS	969	gpuA	3.5.3.17	COG0010	Guanidinopropionase
MAG248_00021	CDS	846				hypothetical protein
MAG248_00022	CDS	579	eda		COG0800	KHG/KDPG aldolase
MAG248_00023	CDS	936	kdgK	2.7.1.45	COG0524	2-dehydro-3-deoxygluconokinase
MAG248_00024	CDS	729	cobC	3.1.3.73	COG0406	Adenosylcobalamin/alpha-ribazole phosphatase
MAG248_00025	CDS	798	cpdA_1	3.1.4.53	COG1409	3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA
MAG248_00026	CDS	2325	pleC_1	2.7.13.3		Non-motile and phage-resistance protein
MAG248_00027	CDS	471				hypothetical protein
MAG248_00028	CDS	612	ruvA	3.6.4.12	COG0632	Holliday junction ATP-dependent DNA helicase RuvA
MAG248_00029	CDS	543	ruvC	3.1.22.4	COG0817	Crossover junction endodeoxyribonuclease RuvC
MAG248_00030	CDS	750			COG0217	putative transcriptional regulatory protein
MAG248_00031	CDS	225				hypothetical protein
MAG248_00032	CDS	828	ymdB_1	3.1.4.16	COG1692	2',3'-cyclic-nucleotide 2'-phosphodiesterase
MAG248_00033	CDS	579		6.3.3.2	COG0212	5-formyltetrahydrofolate cyclo-ligase
MAG248_00034	CDS	336				hypothetical protein
MAG248_00035	CDS	297				hypothetical protein
MAG248_00036	CDS	2034	tktA	2.2.1.1	COG0021	Transketolase 1
MAG248_00037	CDS	1005	gap	1.2.1.12		Glyceraldehyde-3-phosphate dehydrogenase
MAG248_00038	CDS	228				hypothetical protein
MAG248_00039	CDS	612	gstB_1	2.5.1.18	COG0625	Glutathione S-transferase GST-6.0
MAG248_00040	CDS	798	echA8_1	4.2.1.17	COG1024	putative enoyl-CoA hydratase echA8
MAG248_00041	CDS	1068	luxA_1	1.14.14.3	COG2141	Alkanal monooxygenase alpha chain
