locus_tag	ftype	length_bp	gene	EC_number	COG	product
MAG137_00001	CDS	342				hypothetical protein
MAG137_00002	CDS	297				hypothetical protein
MAG137_00003	CDS	438	aroQ_1	4.2.1.10	COG0757	3-dehydroquinate dehydratase
MAG137_00004	CDS	780	bacC_1	1.1.1.385		Dihydroanticapsin 7-dehydrogenase
MAG137_00005	CDS	450	gerN		COG0475	Na(+)/H(+)-K(+) antiporter GerN
MAG137_00006	CDS	1452	tdcG	4.3.1.17	COG1760	L-serine dehydratase TdcG
MAG137_00007	CDS	1806	ptlE_1	1.14.13.171	COG2072	Neopentalenolactone D synthase
MAG137_00008	CDS	165				hypothetical protein
MAG137_00009	CDS	765	ydfG	1.1.1.381	COG4221	NADP-dependent 3-hydroxy acid dehydrogenase YdfG
MAG137_00010	CDS	1257	phzS	1.14.13.218	COG0654	5-methylphenazine-1-carboxylate 1-monooxygenase
MAG137_00011	CDS	279				hypothetical protein
MAG137_00012	CDS	720				hypothetical protein
MAG137_00013	CDS	1335	mdtG			Multidrug resistance protein MdtG
MAG137_00014	CDS	408				hypothetical protein
MAG137_00015	CDS	804				hypothetical protein
MAG137_00016	CDS	1869	hapE	1.14.13.84		4-hydroxyacetophenone monooxygenase
MAG137_00017	CDS	1686		6.2.1.3	COG0318	Long-chain-fatty-acid--CoA ligase FadD13
MAG137_00018	CDS	1521	phrB	4.1.99.13	COG3046	(6-4) photolyase
MAG137_00019	CDS	687	ydaD	1.-.-.-		General stress protein 39
MAG137_00020	CDS	1770			COG3653	putative protein
MAG137_00021	CDS	501	frp	1.5.1.38		NADPH-flavin oxidoreductase
MAG137_00022	CDS	1341		1.3.99.-		Putative acyl-CoA dehydrogenase FadE17
MAG137_00023	CDS	312				hypothetical protein
MAG137_00024	CDS	1074		5.1.1.8	COG3938	4-hydroxyproline 2-epimerase 1
MAG137_00025	CDS	642	trmH	2.1.1.34	COG0566	tRNA (guanosine(18)-2'-O)-methyltransferase
MAG137_00026	CDS	345				hypothetical protein
MAG137_00027	CDS	438				hypothetical protein
MAG137_00028	CDS	783				hypothetical protein
MAG137_00029	CDS	336	sdpR_1		COG0640	Transcriptional repressor SdpR
MAG137_00030	CDS	912	dhmA_1	3.8.1.5	COG0596	Haloalkane dehalogenase
MAG137_00031	CDS	1245		1.3.99.-		Acyl-CoA dehydrogenase FadE34
MAG137_00032	CDS	390				putative protein
MAG137_00033	CDS	492				hypothetical protein
MAG137_00034	CDS	1155	yfdE	2.8.3.19	COG1804	Acetyl-CoA:oxalate CoA-transferase
MAG137_00035	CDS	888	ptlF_1	1.1.1.340		1-deoxy-11-beta-hydroxypentalenate dehydrogenase
MAG137_00036	CDS	1815	pntE	1.14.13.170		Pentalenolactone D synthase
MAG137_00037	CDS	837				Putative enoyl-CoA hydratase EchA13
MAG137_00038	CDS	909			COG2141	putative protein
