locus_tag	ftype	length_bp	gene	EC_number	COG	product
MAG270_00001	CDS	747	trmJ_1	2.1.1.200	COG0565	tRNA (cytidine/uridine-2'-O-)-methyltransferase TrmJ
MAG270_00002	CDS	804	suhB	3.1.3.25	COG0483	Inositol-1-monophosphatase
MAG270_00003	CDS	1029				hypothetical protein
MAG270_00004	CDS	876				hypothetical protein
MAG270_00005	CDS	1899				hypothetical protein
MAG270_00006	CDS	390				hypothetical protein
MAG270_00007	CDS	1287	steT		COG0531	Serine/threonine exchanger SteT
MAG270_00008	CDS	840	ada_1		COG0350	Bifunctional transcriptional activator/DNA repair enzyme Ada
MAG270_00009	CDS	1419	ald_1	1.2.1.83		3-succinoylsemialdehyde-pyridine dehydrogenase
MAG270_00010	CDS	945	glcB	2.3.3.9	COG2225	Malate synthase G
MAG270_00011	CDS	477		4.1.3.17		Putative 4-hydroxy-4-methyl-2-oxoglutarate aldolase
MAG270_00012	CDS	438		2.3.1.-		Acetyltransferase
MAG270_00013	CDS	1791	ggt_1	3.4.19.13	COG0405	Glutathione hydrolase proenzyme
MAG270_00014	CDS	942		1.14.11.-	COG2850	putative ribosomal oxygenase
MAG270_00015	CDS	1377	purB	4.3.2.2	COG0015	Adenylosuccinate lyase
MAG270_00016	CDS	639	hflD		COG2915	High frequency lysogenization protein HflD
MAG270_00017	CDS	1113	mnmA	2.8.1.13	COG0482	tRNA-specific 2-thiouridylase MnmA
MAG270_00018	CDS	447	nudJ	3.6.1.-		Phosphatase NudJ
MAG270_00019	CDS	627	rluE	5.4.99.20	COG1187	Ribosomal large subunit pseudouridine synthase E
MAG270_00020	CDS	1254	icd	1.1.1.42		Isocitrate dehydrogenase [NADP]
MAG270_00021	CDS	270	cspD		COG1278	Cold shock-like protein CspD
MAG270_00022	CDS	345	clpS		COG2127	ATP-dependent Clp protease adapter protein ClpS
MAG270_00023	CDS	2277	clpA		COG0542	ATP-dependent Clp protease ATP-binding subunit ClpA
MAG270_00024	CDS	219	infA		COG0361	Translation initiation factor IF-1
MAG270_00025	CDS	723	bpt	2.3.2.29	COG2935	Aspartate/glutamate leucyltransferase
MAG270_00026	CDS	720	aat	2.3.2.6	COG2360	Leucyl/phenylalanyl-tRNA--protein transferase
MAG270_00027	CDS	945		4.3.1.9	COG0492	Glucosaminate ammonia-lyase
MAG270_00028	CDS	2370	ftsK		COG1674	DNA translocase FtsK
MAG270_00029	CDS	333				hypothetical protein
MAG270_00030	CDS	1059	alg8	2.4.1.33	COG1215	Mannuronan synthase
MAG270_00031	CDS	438	algA		COG0662	Alginate biosynthesis protein AlgA
MAG270_00032	CDS	573				hypothetical protein
MAG270_00033	CDS	678	lolA		COG2834	Outer-membrane lipoprotein carrier protein
MAG270_00034	CDS	1281	rarA		COG2256	Replication-associated recombination protein A
MAG270_00035	CDS	372	crcB		COG0239	Putative fluoride ion transporter CrcB
MAG270_00036	CDS	1278	serS	6.1.1.11	COG0172	Serine--tRNA ligase
MAG270_00037	CDS	132				hypothetical protein
MAG270_00038	CDS	1422	cysG_1		COG0007	Siroheme synthase
MAG270_00039	CDS	1359	garB	1.8.1.16		Glutathione amide reductase
MAG270_00040	CDS	630	kstR			HTH-type transcriptional repressor KstR
MAG270_00041	CDS	1272	puuB	1.4.3.-		Gamma-glutamylputrescine oxidoreductase
MAG270_00042	CDS	1344	puuA_1	6.3.1.11	COG0174	Gamma-glutamylputrescine synthetase PuuA
MAG270_00043	CDS	741	guaA	6.3.5.2	COG0518	GMP synthase [glutamine-hydrolyzing]
MAG270_00044	CDS	1278	xerC_1			Tyrosine recombinase XerC
MAG270_00045	CDS	2256	prc	3.4.21.102	COG0793	Tail-specific protease
MAG270_00046	CDS	816	xthA	3.1.11.2	COG0708	Exodeoxyribonuclease III
MAG270_00047	CDS	501				hypothetical protein
MAG270_00048	CDS	768	sigF			ECF RNA polymerase sigma factor SigF
MAG270_00049	CDS	330				hypothetical protein
MAG270_00050	CDS	525				hypothetical protein
MAG270_00051	CDS	930	etfA		COG2025	Electron transfer flavoprotein subunit alpha
MAG270_00052	CDS	753	etfB			Electron transfer flavoprotein subunit beta
MAG270_00053	CDS	1626		1.5.5.1	COG0644	Electron transfer flavoprotein-ubiquinone oxidoreductase
MAG270_00054	CDS	567				hypothetical protein
MAG270_00055	CDS	738	ttgW			putative HTH-type transcriptional regulator TtgW
MAG270_00056	CDS	552	mepM_1	3.4.24.-	COG0739	Murein DD-endopeptidase MepM
MAG270_00057	CDS	1113	anmK_1	2.7.1.170	COG2377	Anhydro-N-acetylmuramic acid kinase
MAG270_00058	CDS	513				hypothetical protein
MAG270_00059	CDS	354	erpA_1		COG0316	Iron-sulfur cluster insertion protein ErpA
MAG270_00060	CDS	414				hypothetical protein
MAG270_00061	CDS	705				hypothetical protein
