locus_tag	ftype	length_bp	gene	EC_number	COG	product
MAG212_00001	CDS	204				hypothetical protein
MAG212_00002	CDS	1380				hypothetical protein
MAG212_00003	CDS	654	nox	1.6.99.3	COG0778	NADH dehydrogenase
MAG212_00004	CDS	486	ansB	3.5.1.38		Glutaminase-asparaginase
MAG212_00005	CDS	1050				hypothetical protein
MAG212_00006	CDS	1197				hypothetical protein
MAG212_00007	CDS	717	nfi	3.1.21.7	COG1515	Endonuclease V
MAG212_00008	CDS	1014	glnB	6.3.1.2		Glutamine synthetase
MAG212_00009	CDS	465	lrpC		COG1522	HTH-type transcriptional regulator LrpC
MAG212_00010	CDS	300	yfgD		COG1393	putative protein YfgD
MAG212_00011	CDS	1116				hypothetical protein
MAG212_00012	CDS	789				hypothetical protein
MAG212_00013	CDS	2967	oar_1			Protein oar
MAG212_00014	CDS	3903				hypothetical protein
MAG212_00015	CDS	1020				hypothetical protein
MAG212_00016	CDS	726				hypothetical protein
MAG212_00017	CDS	432	aroQ	4.2.1.10	COG0757	3-dehydroquinate dehydratase
MAG212_00018	CDS	387				hypothetical protein
MAG212_00019	CDS	690				hypothetical protein
MAG212_00020	CDS	1086		2.4.1.336	COG1215	Beta-monoglucosyldiacylglycerol synthase
MAG212_00021	CDS	1371	mgtE		COG2239	Magnesium transporter MgtE
MAG212_00022	CDS	798				hypothetical protein
MAG212_00023	CDS	738		2.1.1.-	COG0566	putative tRNA/rRNA methyltransferase
MAG212_00024	CDS	1614	nfdA	3.5.1.91		N-substituted formamide deformylase
MAG212_00025	CDS	1467	proS	6.1.1.15	COG0442	Proline--tRNA ligase
MAG212_00026	CDS	690	recO		COG1381	DNA repair protein RecO
MAG212_00027	CDS	852				hypothetical protein
MAG212_00028	CDS	828	gluP	3.4.21.105	COG0705	Rhomboid protease GluP
MAG212_00029	CDS	807	pomA_1		COG1291	Chemotaxis protein PomA
MAG212_00030	CDS	720	motB_1		COG1360	Motility protein B
MAG212_00031	CDS	570				hypothetical protein
MAG212_00032	CDS	351	ftsB			Cell division protein FtsB
MAG212_00033	CDS	1287	eno	4.2.1.11	COG0148	Enolase
MAG212_00034	CDS	990				hypothetical protein
MAG212_00035	CDS	1419				hypothetical protein
MAG212_00036	CDS	1164	bshA_1	2.4.1.-	COG0438	N-acetyl-alpha-D-glucosaminyl L-malate synthase
MAG212_00037	CDS	1089				hypothetical protein
MAG212_00038	CDS	1089				hypothetical protein
MAG212_00039	CDS	210				hypothetical protein
MAG212_00040	CDS	219				hypothetical protein
