locus_tag	ftype	length_bp	gene	EC_number	COG	product
MAG31_00001	CDS	987	rfbB	4.2.1.46	COG1088	dTDP-glucose 4,6-dehydratase
MAG31_00002	CDS	375				hypothetical protein
MAG31_00003	CDS	549	rplU		COG0261	50S ribosomal protein L21
MAG31_00004	CDS	261	rpmA		COG0211	50S ribosomal protein L27
MAG31_00005	CDS	1242			COG1680	putative protein
MAG31_00006	CDS	1320	ahcY	3.3.1.1		Adenosylhomocysteinase
MAG31_00007	CDS	639				hypothetical protein
MAG31_00008	CDS	261				hypothetical protein
MAG31_00009	CDS	633	pnuC		COG3201	Nicotinamide riboside transporter PnuC
MAG31_00010	CDS	573	nadR		COG1056	Trifunctional NAD biosynthesis/regulator protein NadR
MAG31_00011	CDS	1521				hypothetical protein
MAG31_00012	CDS	2232	btuB_1			Vitamin B12 transporter BtuB
MAG31_00013	CDS	780				hypothetical protein
MAG31_00014	CDS	459				hypothetical protein
MAG31_00015	CDS	477	greA_1		COG0782	Transcription elongation factor GreA
MAG31_00016	CDS	408			COG0537	putative HIT-like protein
MAG31_00017	CDS	1194	kinD	2.7.13.3		Sporulation kinase D
MAG31_00018	CDS	375				hypothetical protein
MAG31_00019	CDS	603	tag	3.2.2.20	COG2818	DNA-3-methyladenine glycosylase 1
MAG31_00020	CDS	819	tsf		COG0264	Elongation factor Ts
MAG31_00021	CDS	864	rpsB		COG0052	30S ribosomal protein S2
MAG31_00022	CDS	387	rpsI		COG0103	30S ribosomal protein S9
MAG31_00023	CDS	456	rplM		COG0102	50S ribosomal protein L13
MAG31_00024	CDS	2823	polA	2.7.7.7	COG0258	DNA polymerase I
MAG31_00025	CDS	1800	dxs_1	2.2.1.7	COG1154	1-deoxy-D-xylulose-5-phosphate synthase
MAG31_00026	CDS	465	tadA	3.5.4.33	COG0590	tRNA-specific adenosine deaminase
MAG31_00027	CDS	192	cspV		COG1278	Cold shock protein CspV
MAG31_00028	CDS	231				hypothetical protein
MAG31_00029	CDS	1761	aspS	6.1.1.12		Aspartate--tRNA ligase
MAG31_00030	CDS	3435	czcA			Cobalt-zinc-cadmium resistance protein CzcA
MAG31_00031	CDS	1170	czcB			Cobalt-zinc-cadmium resistance protein CzcB
MAG31_00032	CDS	1341				hypothetical protein
MAG31_00033	CDS	606	kstR2			HTH-type transcriptional repressor KstR2
MAG31_00034	CDS	969		2.5.1.10	COG0142	(2E,6E)-farnesyl diphosphate synthase
MAG31_00035	CDS	1155				hypothetical protein
MAG31_00036	CDS	816	zupT		COG0428	Zinc transporter ZupT
MAG31_00037	CDS	1071	thiL	2.7.4.16	COG0611	Thiamine-monophosphate kinase
MAG31_00038	CDS	1266				hypothetical protein
MAG31_00039	CDS	1341				hypothetical protein
MAG31_00040	CDS	330	erpA		COG0316	Iron-sulfur cluster insertion protein ErpA
MAG31_00041	CDS	1446	sufB		COG0719	FeS cluster assembly protein SufB
MAG31_00042	CDS	747	sufC		COG0396	putative ATP-dependent transporter SufC
MAG31_00043	CDS	1317	sufD		COG0719	FeS cluster assembly protein SufD
MAG31_00044	CDS	1215	csd	2.8.1.7		putative cysteine desulfurase
MAG31_00045	CDS	426	sufE		COG2166	Cysteine desulfuration protein SufE
MAG31_00046	CDS	324	sufT			Fe-S protein maturation auxiliary factor SufT
MAG31_00047	CDS	507				hypothetical protein
MAG31_00048	CDS	1326				hypothetical protein
MAG31_00049	CDS	567	nadD	2.7.7.18	COG1057	Nicotinate-nucleotide adenylyltransferase
MAG31_00050	CDS	570	gmk	2.7.4.8	COG0194	Guanylate kinase
MAG31_00051	CDS	858				hypothetical protein
MAG31_00052	CDS	729				hypothetical protein
MAG31_00053	CDS	1074	iolE_1	4.2.1.44	COG1082	Inosose dehydratase
MAG31_00054	CDS	1140	gfo_1	1.1.99.28		Glucose--fructose oxidoreductase
MAG31_00055	CDS	1212	yegT			Putative nucleoside transporter YegT
MAG31_00056	CDS	975				hypothetical protein
MAG31_00057	CDS	1692	fdhL_1	1.1.99.11		Fructose dehydrogenase large subunit
MAG31_00058	CDS	576				hypothetical protein
MAG31_00059	CDS	480				hypothetical protein
MAG31_00060	CDS	480				hypothetical protein
MAG31_00061	CDS	1287	cpg2_1	3.4.17.11		Carboxypeptidase G2
MAG31_00062	CDS	897	yijE			putative cystine transporter YijE
MAG31_00063	CDS	357	spxA			Regulatory protein Spx
MAG31_00064	CDS	1152	metC_1	4.4.1.8	COG0626	Cystathionine beta-lyase
MAG31_00065	CDS	762	lpxH	3.6.1.54	COG2908	UDP-2,3-diacylglucosamine hydrolase
MAG31_00066	CDS	1209	hflX		COG2262	GTPase HflX
MAG31_00067	CDS	930	aes	3.1.1.-		Acetyl esterase
MAG31_00068	CDS	753	ydfG	1.1.1.381	COG4221	NADP-dependent 3-hydroxy acid dehydrogenase YdfG
MAG31_00069	CDS	867	ydhF	1.-.-.-	COG4989	Oxidoreductase YdhF
MAG31_00070	CDS	1008	ravA	3.6.3.-		ATPase RavA
MAG31_00071	CDS	867			COG1721	putative protein
MAG31_00072	CDS	1626				hypothetical protein
MAG31_00073	CDS	1005				hypothetical protein
MAG31_00074	CDS	1041				hypothetical protein
MAG31_00075	CDS	828	ycf3_1			Photosystem I assembly protein Ycf3
MAG31_00076	CDS	1773				hypothetical protein
MAG31_00077	CDS	798				hypothetical protein
MAG31_00078	CDS	519				hypothetical protein
MAG31_00079	CDS	366				hypothetical protein
MAG31_00080	CDS	1017	pheS	6.1.1.20	COG0016	Phenylalanine--tRNA ligase alpha subunit
MAG31_00081	CDS	1008	gpsA	1.1.1.94	COG0240	Glycerol-3-phosphate dehydrogenase [NAD(P)+]
MAG31_00082	CDS	435				hypothetical protein
MAG31_00083	CDS	1011	iaaA	3.4.19.5	COG1446	Isoaspartyl peptidase
MAG31_00084	CDS	315	yqjZ		COG2329	putative protein YqjZ
MAG31_00085	CDS	1101	dinB	2.7.7.7	COG0389	DNA polymerase IV
MAG31_00086	CDS	1428	pyk	2.7.1.40	COG0469	Pyruvate kinase
MAG31_00087	CDS	474				hypothetical protein
