locus_tag	ftype	length_bp	gene	EC_number	COG	product
MAG237_00001	CDS	2121	ligA_1	6.5.1.2	COG0272	DNA ligase
MAG237_00002	CDS	846	ctrA_1			Cell cycle response regulator CtrA
MAG237_00003	CDS	285				hypothetical protein
MAG237_00004	CDS	1137	mnmA_1	2.8.1.13	COG0482	tRNA-specific 2-thiouridylase MnmA
MAG237_00005	CDS	582	lpxB_1	2.4.1.182	COG0763	Lipid-A-disaccharide synthase
MAG237_00006	CDS	1179	pobA	1.14.13.2	COG0654	p-hydroxybenzoate hydroxylase
MAG237_00007	CDS	1197	kynU	3.7.1.3		Kynureninase
MAG237_00008	CDS	654	rspR_1		COG1802	HTH-type transcriptional repressor RspR
MAG237_00009	CDS	840	yghU	1.8.4.-	COG0625	Disulfide-bond oxidoreductase YghU
MAG237_00010	CDS	939				putative epimerase/dehydratase
MAG237_00011	CDS	792	crt_1	4.2.1.150	COG1024	Short-chain-enoyl-CoA hydratase
MAG237_00012	CDS	927	lcdH_1	1.1.1.108		L-carnitine dehydrogenase
MAG237_00013	CDS	768		1.-.-.-		putative oxidoreductase
MAG237_00014	CDS	957	xerC_1		COG4973	Tyrosine recombinase XerC
MAG237_00015	CDS	1035				hypothetical protein
MAG237_00016	CDS	2559	leuS	6.1.1.4	COG0495	Leucine--tRNA ligase
MAG237_00017	CDS	471				hypothetical protein
MAG237_00018	CDS	1026				hypothetical protein
MAG237_00019	CDS	588	gst	2.5.1.18	COG0625	Glutathione S-transferase
MAG237_00020	CDS	627				hypothetical protein
MAG237_00021	CDS	1161	mmgC_1	1.3.99.-	COG1960	Acyl-CoA dehydrogenase
MAG237_00022	CDS	975	qorA	1.6.5.5	COG0604	Quinone oxidoreductase 1
MAG237_00023	CDS	591				hypothetical protein
MAG237_00024	CDS	768	recO			DNA repair protein RecO
MAG237_00025	CDS	333				hypothetical protein
MAG237_00026	CDS	909	era		COG1159	GTPase Era
MAG237_00027	CDS	684	rnc	3.1.26.3	COG0571	Ribonuclease 3
MAG237_00028	CDS	870	lepB	3.4.21.89	COG0681	Signal peptidase I
MAG237_00029	CDS	414	acpS	2.7.8.7	COG0736	Holo-[acyl-carrier-protein] synthase
MAG237_00030	CDS	744	pdxJ	2.6.99.2	COG0854	Pyridoxine 5'-phosphate synthase
MAG237_00031	CDS	654				hypothetical protein
MAG237_00032	CDS	2166	rsh	2.7.6.5		GTP pyrophosphokinase rsh
MAG237_00033	CDS	354	rpoZ	2.7.7.6		DNA-directed RNA polymerase subunit omega
MAG237_00034	CDS	594	folK	2.7.6.3	COG0801	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase
MAG237_00035	CDS	567				hypothetical protein
MAG237_00036	CDS	966	ispH	1.17.7.4	COG0761	4-hydroxy-3-methylbut-2-enyl diphosphate reductase
MAG237_00037	CDS	588	ubiG_1	2.1.1.222		Ubiquinone biosynthesis O-methyltransferase
MAG237_00038	CDS	453	rnhA	3.1.26.4	COG0328	Ribonuclease HI
MAG237_00039	CDS	237				hypothetical protein
MAG237_00040	CDS	900	fmt	2.1.2.9	COG0223	Methionyl-tRNA formyltransferase
MAG237_00041	CDS	495	def_1	3.5.1.88	COG0242	Peptide deformylase
MAG237_00042	CDS	474	def_2	3.5.1.88	COG0242	Peptide deformylase
MAG237_00043	CDS	1167	patB_1	4.4.1.8	COG1168	Cystathionine beta-lyase PatB
MAG237_00044	CDS	351				hypothetical protein
MAG237_00045	CDS	774	cobM	2.1.1.133		Precorrin-4 C(11)-methyltransferase
MAG237_00046	CDS	1842	cobJ	2.1.1.131		Precorrin-3B C(17)-methyltransferase
MAG237_00047	CDS	702	cobI	2.1.1.130		Precorrin-2 C(20)-methyltransferase
MAG237_00048	CDS	1200	cobL	2.1.1.132		Precorrin-6Y C(5,15)-methyltransferase [decarboxylating]
MAG237_00049	CDS	723	cobH	5.4.99.61		Precorrin-8X methylmutase
MAG237_00050	CDS	1137	cbiX	4.99.1.3	COG2138	Sirohydrochlorin cobaltochelatase
MAG237_00051	CDS	210				hypothetical protein
MAG237_00052	CDS	273				hypothetical protein
MAG237_00053	CDS	1515				hypothetical protein
MAG237_00054	CDS	960	yqjG	1.8.5.7	COG0435	Glutathionyl-hydroquinone reductase YqjG
MAG237_00055	CDS	372				hypothetical protein
MAG237_00056	CDS	948	cobD_1	4.1.1.81	COG0079	Threonine-phosphate decarboxylase
MAG237_00057	CDS	906	cobD_2		COG1270	Cobalamin biosynthesis protein CobD
MAG237_00058	CDS	1170	mltB_1	4.2.2.-	COG2951	Membrane-bound lytic murein transglycosylase B
MAG237_00059	CDS	3456	smc			Chromosome partition protein Smc
MAG237_00060	CDS	198				hypothetical protein
MAG237_00061	CDS	789	fabG_1	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
MAG237_00062	CDS	771				hypothetical protein
MAG237_00063	CDS	513				hypothetical protein
MAG237_00064	CDS	978			COG1638	Solute-binding protein
MAG237_00065	CDS	1401	gcvT_1	2.1.2.10	COG0404	Aminomethyltransferase
MAG237_00066	CDS	732	gntR_1			putative D-xylose utilization operon transcriptional repressor
MAG237_00067	CDS	882				hypothetical protein
MAG237_00068	CDS	735	galB_1	4.2.1.83	COG2120	4-oxalmesaconate hydratase
MAG237_00069	CDS	672	proA_1	4.1.3.16		4-hydroxy-4-methyl-2-oxoglutarate aldolase/4-carboxy-4-hydroxy-2-oxoadipate aldolase
MAG237_00070	CDS	1068	galD_1	5.3.2.8	COG2828	4-oxalomesaconate tautomerase
MAG237_00071	CDS	450				hypothetical protein
MAG237_00072	CDS	1221	hemA_1	2.3.1.37	COG0156	5-aminolevulinate synthase
MAG237_00073	CDS	945	cphA_1	3.5.2.6		Metallo-beta-lactamase type 2
