locus_tag	ftype	length_bp	gene	EC_number	COG	product
MAG238_00001	CDS	897				hypothetical protein
MAG238_00002	CDS	849	ybgK		COG1984	putative protein YbgK
MAG238_00003	CDS	837	kipI		COG2049	Kinase A inhibitor
MAG238_00004	CDS	726				hypothetical protein
MAG238_00005	CDS	1194	mntH		COG1914	Divalent metal cation transporter MntH
MAG238_00006	CDS	1125				hypothetical protein
MAG238_00007	CDS	711				hypothetical protein
MAG238_00008	CDS	630				hypothetical protein
MAG238_00009	CDS	594				hypothetical protein
MAG238_00010	tRNA	73				tRNA-Arg(cct)
MAG238_00011	CDS	249				hypothetical protein
MAG238_00012	CDS	123				hypothetical protein
MAG238_00013	CDS	435				hypothetical protein
MAG238_00014	CDS	441	dsbH	1.8.-.-	COG0526	Disulfide bond reductase DsbH
MAG238_00015	CDS	900	apbE_1	2.7.1.180	COG1477	FAD:protein FMN transferase
MAG238_00016	CDS	207				hypothetical protein
MAG238_00017	CDS	1281				hypothetical protein
MAG238_00018	CDS	489				hypothetical protein
MAG238_00019	CDS	1401	speA	4.1.1.19		Biosynthetic arginine decarboxylase
MAG238_00020	CDS	939		3.5.3.24	COG0010	N(1)-aminopropylagmatine ureohydrolase
MAG238_00021	CDS	972		2.5.-.-		Deoxyhypusine synthase-like protein
MAG238_00022	CDS	306				hypothetical protein
MAG238_00023	CDS	789				hypothetical protein
MAG238_00024	CDS	1383	rimK	6.3.2.-	COG0189	Ribosomal protein S6--L-glutamate ligase
MAG238_00025	CDS	942				putative epimerase/dehydratase
MAG238_00026	CDS	492				hypothetical protein
MAG238_00027	CDS	534				hypothetical protein
MAG238_00028	CDS	702				hypothetical protein
MAG238_00029	CDS	810	yeeZ		COG0451	Protein YeeZ
MAG238_00030	CDS	471	guaB_1	1.1.1.205		Inosine-5'-monophosphate dehydrogenase
MAG238_00031	CDS	354				hypothetical protein
MAG238_00032	CDS	351	ssb_1		COG0629	Single-stranded DNA-binding protein
MAG238_00033	CDS	2070	metG	6.1.1.10	COG0073	Methionine--tRNA ligase
MAG238_00034	CDS	360				hypothetical protein
MAG238_00035	CDS	660				hypothetical protein
MAG238_00036	CDS	3405	mfd	3.6.4.-	COG1197	Transcription-repair-coupling factor
MAG238_00037	CDS	417				hypothetical protein
MAG238_00038	CDS	480				hypothetical protein
MAG238_00039	CDS	1977	bfmBAB_1	1.2.4.4	COG0022	2-oxoisovalerate dehydrogenase subunit beta
MAG238_00040	CDS	948				hypothetical protein
MAG238_00041	CDS	333	yciH		COG0023	putative protein YciH
MAG238_00042	CDS	933				hypothetical protein
MAG238_00043	CDS	879	deoD	2.4.2.1		Purine nucleoside phosphorylase DeoD-type
MAG238_00044	CDS	669	ung	3.2.2.27	COG0692	Uracil-DNA glycosylase
MAG238_00045	CDS	2181	mutS2_1	3.1.-.-		Endonuclease MutS2
MAG238_00046	CDS	465				hypothetical protein
MAG238_00047	CDS	1305	gltP		COG1301	Proton/glutamate-aspartate symporter
MAG238_00048	CDS	1065	aroC	4.2.3.5	COG0082	Chorismate synthase
MAG238_00049	CDS	2913			COG0247	putative protein
MAG238_00050	CDS	1140	resA_1		COG0526	Thiol-disulfide oxidoreductase ResA
MAG238_00051	CDS	621	glpG	3.4.21.105		Rhomboid protease GlpG
MAG238_00052	CDS	885	lpxP	2.3.1.242	COG1560	Lipid A biosynthesis palmitoleoyltransferase
MAG238_00053	CDS	1392	algC	5.4.2.2		Phosphomannomutase/phosphoglucomutase
MAG238_00054	CDS	588	acpH	3.1.4.14	COG3124	Acyl carrier protein phosphodiesterase
MAG238_00055	CDS	1692	ggt	3.4.19.13	COG0405	Glutathione hydrolase proenzyme
MAG238_00056	CDS	771				hypothetical protein
MAG238_00057	CDS	2841	uvrA_1			UvrABC system protein A
MAG238_00058	CDS	687	log	3.2.2.-	COG1611	Cytokinin riboside 5'-monophosphate phosphoribohydrolase
