locus_tag	ftype	length_bp	gene	EC_number	COG	product
MAG7_00001	CDS	375	lolA		COG2834	Outer-membrane lipoprotein carrier protein
MAG7_00002	CDS	1326	rarA		COG2256	Replication-associated recombination protein A
MAG7_00003	CDS	357	crcB		COG0239	Putative fluoride ion transporter CrcB
MAG7_00004	CDS	1278	serS	6.1.1.11	COG0172	Serine--tRNA ligase
MAG7_00005	CDS	1452	cysG		COG0007	Siroheme synthase
MAG7_00006	CDS	1359	garB	1.8.1.16		Glutathione amide reductase
MAG7_00007	CDS	630	tetR			Tetracycline repressor protein class A from transposon 1721
MAG7_00008	CDS	1260	puuB	1.4.3.-		Gamma-glutamylputrescine oxidoreductase
MAG7_00009	CDS	1344	puuA_1	6.3.1.11	COG0174	Gamma-glutamylputrescine synthetase PuuA
MAG7_00010	CDS	2271	bepA_1	3.4.-.-		Beta-barrel assembly-enhancing protease
MAG7_00011	CDS	1278	xerC_1			Tyrosine recombinase XerC
MAG7_00012	CDS	2139	prc	3.4.21.102	COG0793	Tail-specific protease
MAG7_00013	CDS	828	xthA	3.1.11.2	COG0708	Exodeoxyribonuclease III
MAG7_00014	CDS	432				hypothetical protein
MAG7_00015	CDS	624	sigE			ECF RNA polymerase sigma factor SigE
MAG7_00016	CDS	348				hypothetical protein
MAG7_00017	CDS	930	etfA		COG2025	Electron transfer flavoprotein subunit alpha
MAG7_00018	CDS	753	etfB			Electron transfer flavoprotein subunit beta
MAG7_00019	CDS	1626		1.5.5.1	COG0644	Electron transfer flavoprotein-ubiquinone oxidoreductase
MAG7_00020	CDS	612				hypothetical protein
MAG7_00021	CDS	696	ttgW			putative HTH-type transcriptional regulator TtgW
MAG7_00022	CDS	618	thrH	3.1.3.3	COG0560	Phosphoserine phosphatase ThrH
MAG7_00023	CDS	735	cysH	1.8.4.8	COG0175	Phosphoadenosine phosphosulfate reductase
MAG7_00024	CDS	336				hypothetical protein
MAG7_00025	CDS	1005	cysB			HTH-type transcriptional regulator CysB
MAG7_00026	CDS	789				hypothetical protein
MAG7_00027	CDS	918				hypothetical protein
MAG7_00028	CDS	1368	alsT_1		COG1115	Amino-acid carrier protein AlsT
MAG7_00029	CDS	1002	cuyA	4.4.1.25		L-cysteate sulfo-lyase
MAG7_00030	CDS	327	yajC		COG1862	Sec translocon accessory complex subunit YajC
MAG7_00031	CDS	477	bcp	1.11.1.15	COG1225	Peroxiredoxin Bcp
MAG7_00032	CDS	1038	mdh	1.1.1.37	COG0039	Malate dehydrogenase
MAG7_00033	CDS	621				hypothetical protein
MAG7_00034	CDS	654	gloC	3.1.2.6	COG0491	Hydroxyacylglutathione hydrolase GloC
MAG7_00035	CDS	780	ycfH	3.1.-.-	COG0084	putative metal-dependent hydrolase YcfH
MAG7_00036	CDS	360				hypothetical protein
MAG7_00037	CDS	987	holB	2.7.7.7	COG0470	DNA polymerase III subunit delta'
MAG7_00038	CDS	639	tmk	2.7.4.9	COG0125	Thymidylate kinase
MAG7_00039	CDS	1071	mltG	4.2.2.-	COG1559	Endolytic murein transglycosylase
MAG7_00040	CDS	882	pabC	4.1.3.38	COG0115	Aminodeoxychorismate lyase
MAG7_00041	CDS	234	acpP_1		COG0236	Acyl carrier protein
MAG7_00042	CDS	744	fabG_1	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
MAG7_00043	CDS	939	fabD	2.3.1.39	COG0331	Malonyl CoA-acyl carrier protein transacylase
MAG7_00044	CDS	1002	plsX	2.3.1.-	COG0416	Phosphate acyltransferase
MAG7_00045	CDS	180	rpmF		COG0333	50S ribosomal protein L32
MAG7_00046	CDS	507	yceD		COG1399	Large ribosomal RNA subunit accumulation protein YceD
MAG7_00047	CDS	588	yceF		COG0424	Maf-like protein YceF
MAG7_00048	CDS	651	cbbZC	3.1.3.18	COG0546	Phosphoglycolate phosphatase, chromosomal
MAG7_00049	CDS	969	rluC	5.4.99.24	COG0564	Ribosomal large subunit pseudouridine synthase C
