locus_tag	ftype	length_bp	gene	EC_number	COG	product
MAG20_00001	CDS	1074				hypothetical protein
MAG20_00002	CDS	1083	dhmA	3.8.1.5	COG0596	Haloalkane dehalogenase
MAG20_00003	CDS	597				hypothetical protein
MAG20_00004	CDS	1179		1.3.1.-	COG3268	Putative trans-acting enoyl reductase
MAG20_00005	CDS	1014		2.7.1.-	COG3173	Putative aminoglycoside phosphotransferase
MAG20_00006	CDS	438				hypothetical protein
MAG20_00007	CDS	1275	carC_1	1.3.1.108	COG1960	Caffeyl-CoA reductase-Etf complex subunit CarC
MAG20_00008	CDS	525				hypothetical protein
MAG20_00009	CDS	288				hypothetical protein
MAG20_00010	CDS	1449	aldA	1.2.1.22	COG1012	Lactaldehyde dehydrogenase
MAG20_00011	CDS	942	yngG	4.1.3.4	COG0119	Hydroxymethylglutaryl-CoA lyase YngG
MAG20_00012	CDS	1008	curA	1.3.1.-	COG2130	NADPH-dependent curcumin reductase
MAG20_00013	CDS	1215	smtB	2.8.3.22	COG1804	Succinyl-CoA--L-malate CoA-transferase beta subunit
MAG20_00014	CDS	636	leuD1	4.2.1.33	COG0066	3-isopropylmalate dehydratase small subunit 1
MAG20_00015	CDS	1401	leuC	4.2.1.33	COG0065	3-isopropylmalate dehydratase large subunit
MAG20_00016	CDS	900				hypothetical protein
MAG20_00017	CDS	939				hypothetical protein
MAG20_00018	CDS	1566		1.-.-.-	COG0277	putative FAD-linked oxidoreductase
MAG20_00019	CDS	306				hypothetical protein
MAG20_00020	CDS	1050	amiE	3.5.1.4	COG0388	Aliphatic amidase
MAG20_00021	CDS	771	yvoA		COG2188	HTH-type transcriptional repressor YvoA
MAG20_00022	CDS	681				hypothetical protein
MAG20_00023	CDS	927				hypothetical protein
MAG20_00024	CDS	927	pgdA	3.5.1.-		Peptidoglycan deacetylase
MAG20_00025	CDS	672	nicF_1	3.5.1.107	COG1335	Maleamate amidohydrolase
MAG20_00026	CDS	729				hypothetical protein
MAG20_00027	CDS	831				hypothetical protein
MAG20_00028	CDS	651				hypothetical protein
MAG20_00029	CDS	762				hypothetical protein
MAG20_00030	CDS	1188	ydhC			Inner membrane transport protein YdhC
MAG20_00031	CDS	819	fabG_1	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
MAG20_00032	CDS	1932	fyuA_1		COG1629	Pesticin receptor
MAG20_00033	CDS	828				hypothetical protein
MAG20_00034	CDS	1263		3.4.-.-		putative peptidase
MAG20_00035	CDS	2517	cirA_1		COG4771	Colicin I receptor
MAG20_00036	CDS	975	acoA	1.1.1.-	COG1071	Acetoin:2,6-dichlorophenolindophenol oxidoreductase subunit alpha
MAG20_00037	CDS	978	acoB	1.1.1.-	COG0022	Acetoin:2,6-dichlorophenolindophenol oxidoreductase subunit beta
MAG20_00038	CDS	1878	pvaA_1	1.1.2.6		Polyvinylalcohol dehydrogenase
MAG20_00039	CDS	1182	sucB_1	2.3.1.61	COG0508	Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex
MAG20_00040	CDS	444				hypothetical protein
MAG20_00041	CDS	2058	gcd	1.1.5.2	COG4993	Quinoprotein glucose dehydrogenase
MAG20_00042	CDS	597				hypothetical protein
MAG20_00043	CDS	297				hypothetical protein
MAG20_00044	CDS	1245		1.14.-.-	COG2124	Cytochrome P450 107B1
MAG20_00045	CDS	1410	sauS	1.2.1.81	COG1012	Sulfoacetaldehyde dehydrogenase (acylating)
MAG20_00046	CDS	762	ugpQ	3.1.4.46	COG0584	Glycerophosphodiester phosphodiesterase, cytoplasmic
MAG20_00047	CDS	969	lcdH	1.1.1.108		L-carnitine dehydrogenase
MAG20_00048	CDS	912	kce	2.3.1.247	COG3246	3-keto-5-aminohexanoate cleavage enzyme
MAG20_00049	CDS	1206		1.14.11.1		Gamma-butyrobetaine dioxygenase
MAG20_00050	CDS	747				hypothetical protein
MAG20_00051	CDS	1119	acdA_1	1.3.99.-	COG1960	Acyl-CoA dehydrogenase
MAG20_00052	CDS	1206		1.3.99.-		Putative acyl-CoA dehydrogenase FadE17
MAG20_00053	CDS	1116	dgcM	2.7.7.65	COG2199	Diguanylate cyclase DgcM
MAG20_00054	CDS	459	wecD	2.3.1.210		dTDP-fucosamine acetyltransferase
MAG20_00055	CDS	879				hypothetical protein
MAG20_00056	CDS	705				hypothetical protein
MAG20_00057	CDS	393				hypothetical protein
MAG20_00058	CDS	402				hypothetical protein
MAG20_00059	CDS	162				hypothetical protein
MAG20_00060	CDS	702	guaA_1	6.3.5.2	COG0518	GMP synthase [glutamine-hydrolyzing]
MAG20_00061	CDS	441	gloA_1	4.4.1.5	COG0346	Lactoylglutathione lyase
MAG20_00062	CDS	903	rdgC		COG2974	Recombination-associated protein RdgC
MAG20_00063	CDS	228				hypothetical protein
MAG20_00064	CDS	435				Inward rectifier potassium channel Kirbac3.1
MAG20_00065	CDS	474				hypothetical protein
MAG20_00066	CDS	351				hypothetical protein
MAG20_00067	CDS	462				hypothetical protein
MAG20_00068	CDS	393				hypothetical protein
MAG20_00069	CDS	870				hypothetical protein
MAG20_00070	CDS	411				hypothetical protein
MAG20_00071	CDS	615				hypothetical protein
MAG20_00072	CDS	1320	pksS_1	1.14.-.-	COG2124	Polyketide biosynthesis cytochrome P450 PksS
MAG20_00073	CDS	399				hypothetical protein
MAG20_00074	CDS	771		1.-.-.-		putative oxidoreductase
MAG20_00075	CDS	1890	deaD	3.6.4.13	COG0513	ATP-dependent RNA helicase DeaD
MAG20_00076	CDS	1266	pksS_2	1.14.-.-	COG2124	Polyketide biosynthesis cytochrome P450 PksS
MAG20_00077	CDS	1407		1.13.11.43		Lignostilbene-alpha,beta-dioxygenase isozyme I
MAG20_00078	CDS	909				hypothetical protein
MAG20_00079	CDS	987	pucA	1.17.1.4	COG1975	putative xanthine dehydrogenase subunit A
MAG20_00080	CDS	1209	fadA_1	2.3.1.-	COG0183	Putative acyltransferase
MAG20_00081	CDS	2148	fadJ		COG1024	Fatty acid oxidation complex subunit alpha
MAG20_00082	CDS	1545	ilvX	2.2.1.6	COG0028	Putative acetolactate synthase large subunit IlvX
MAG20_00083	CDS	2139		3.5.1.93		Glutaryl-7-aminocephalosporanic-acid acylase
MAG20_00084	CDS	438				Cytochrome c-554(548)
MAG20_00085	CDS	423		3.1.2.28		1,4-dihydroxy-2-naphthoyl-CoA hydrolase
MAG20_00086	CDS	582				hypothetical protein
MAG20_00087	CDS	141				hypothetical protein
MAG20_00088	CDS	1017	mmgC_1	1.3.99.-	COG1960	Acyl-CoA dehydrogenase
MAG20_00089	CDS	1023	sir	1.8.7.1	COG0155	Sulfite reductase [ferredoxin]
MAG20_00090	CDS	750	cysH	1.8.4.8	COG0175	putative phosphoadenosine phosphosulfate reductase
MAG20_00091	CDS	420				hypothetical protein
MAG20_00092	CDS	1050	korB	1.2.7.3	COG1013	2-oxoglutarate oxidoreductase subunit KorB
MAG20_00093	CDS	1872	korA	1.2.7.3	COG0674	2-oxoglutarate oxidoreductase subunit KorA
MAG20_00094	CDS	1779	sfrB	1.-.-.-	COG0493	NADPH-Fe(3+) oxidoreductase subunit beta
MAG20_00095	CDS	1881				hypothetical protein
MAG20_00096	tRNA	74				tRNA-Cys(gca)
MAG20_00097	CDS	255				hypothetical protein
MAG20_00098	CDS	222				hypothetical protein
MAG20_00099	CDS	177				hypothetical protein
MAG20_00100	CDS	1020	pheS_1	6.1.1.20	COG0016	Phenylalanine--tRNA ligase alpha subunit
MAG20_00101	CDS	360	rplT_1		COG0292	50S ribosomal protein L20
MAG20_00102	CDS	195	rpmI_1		COG0291	50S ribosomal protein L35
MAG20_00103	CDS	429	infC_1		COG0290	Translation initiation factor IF-3
MAG20_00104	CDS	1035	virS			HTH-type transcriptional regulator VirS
MAG20_00105	CDS	690				hypothetical protein
MAG20_00106	CDS	1923	thrS	6.1.1.3	COG0441	Threonine--tRNA ligase
MAG20_00107	CDS	2019	uvrB		COG0556	UvrABC system protein B
MAG20_00108	CDS	573		1.11.1.15		Peroxiredoxin
MAG20_00109	CDS	468				hypothetical protein
MAG20_00110	CDS	963	ycjG	5.1.1.20	COG4948	L-Ala-D/L-Glu epimerase
MAG20_00111	CDS	1347	cmtAb	1.14.12.25	COG4638	p-cumate 2,3-dioxygenase system, large oxygenase component
MAG20_00112	CDS	1785			COG1055	putative transporter
MAG20_00113	CDS	624	cysC	2.7.1.25	COG0529	Adenylyl-sulfate kinase
MAG20_00114	CDS	1203	sat	2.7.7.4	COG2046	Sulfate adenylyltransferase
MAG20_00115	CDS	507				hypothetical protein
MAG20_00116	CDS	585	mscS_1		COG0668	Small-conductance mechanosensitive channel
MAG20_00117	CDS	1206	rimK	6.3.2.-	COG0189	Ribosomal protein S6--L-glutamate ligase
MAG20_00118	CDS	489				hypothetical protein
MAG20_00119	CDS	1476	atsA_1	3.1.6.1	COG3119	Arylsulfatase
MAG20_00120	CDS	393	yjgH		COG0251	RutC family protein YjgH
MAG20_00121	CDS	900			COG5285	putative protein
MAG20_00122	CDS	183				hypothetical protein
MAG20_00123	CDS	408				hypothetical protein
MAG20_00124	CDS	1008		1.3.1.103		2-haloacrylate reductase
MAG20_00125	CDS	450				hypothetical protein
MAG20_00126	CDS	273				hypothetical protein
MAG20_00127	CDS	1764	dmdC	1.3.8.-	COG1960	3-methylmercaptopropionyl-CoA dehydrogenase
MAG20_00128	CDS	480		4.1.3.17		Putative 4-hydroxy-4-methyl-2-oxoglutarate aldolase
MAG20_00129	CDS	828	nadC	2.4.2.19	COG0157	Nicotinate-nucleotide pyrophosphorylase [carboxylating]
MAG20_00130	CDS	582	ampD	3.5.1.28	COG3023	1,6-anhydro-N-acetylmuramyl-L-alanine amidase AmpD
MAG20_00131	CDS	813				hypothetical protein
MAG20_00132	CDS	927	panE	1.1.1.169	COG1893	2-dehydropantoate 2-reductase
MAG20_00133	CDS	822				hypothetical protein
MAG20_00134	CDS	591	pnuC		COG3201	Nicotinamide riboside transporter PnuC
MAG20_00135	CDS	264				hypothetical protein
MAG20_00136	CDS	2229	fyuA_2		COG1629	Pesticin receptor
MAG20_00137	CDS	1011	epsC		COG3031	Type II secretion system protein C
MAG20_00138	CDS	2004	epsD			Type II secretion system protein D
MAG20_00139	CDS	1524	epsE		COG2804	Type II secretion system protein E
MAG20_00140	CDS	1221	epsF_1		COG1459	Type II secretion system protein F
MAG20_00141	CDS	432	xcpT		COG2165	Type II secretion system protein G
MAG20_00142	CDS	600				hypothetical protein
MAG20_00143	CDS	420	xcpV		COG2165	Type II secretion system protein I
MAG20_00144	CDS	654	xcpW		COG4795	Type II secretion system protein J
MAG20_00145	CDS	2514				hypothetical protein
MAG20_00146	CDS	3342	addA	3.1.-.-	COG1074	ATP-dependent helicase/nuclease subunit A
MAG20_00147	CDS	618				hypothetical protein
MAG20_00148	CDS	765	gloB	3.1.2.6	COG0491	Hydroxyacylglutathione hydrolase GloB
MAG20_00149	CDS	813				hypothetical protein
MAG20_00150	CDS	450	rnhA	3.1.26.4	COG0328	Ribonuclease HI
MAG20_00151	CDS	264	tesB	3.1.2.-	COG1946	Acyl-CoA thioesterase 2
MAG20_00152	CDS	603				hypothetical protein
MAG20_00153	CDS	711				hypothetical protein
MAG20_00154	CDS	1761	aceK	2.7.11.5	COG4579	Isocitrate dehydrogenase kinase/phosphatase
MAG20_00155	CDS	792	ucpA	1.-.-.-		Oxidoreductase UcpA
MAG20_00156	CDS	513		1.3.8.1	COG1960	Acyl-CoA dehydrogenase, short-chain specific
MAG20_00157	CDS	774				hypothetical protein
MAG20_00158	CDS	420				hypothetical protein
MAG20_00159	CDS	1098	yliI	1.1.5.-	COG2133	Aldose sugar dehydrogenase YliI
MAG20_00160	CDS	1008				putative HTH-type transcriptional regulator
MAG20_00161	CDS	1038	ltaE	4.1.2.48		Low specificity L-threonine aldolase
MAG20_00162	CDS	3456				hypothetical protein
MAG20_00163	CDS	1176		1.1.1.81	COG0111	Hydroxypyruvate reductase
MAG20_00164	CDS	930	oxyR_1			Hydrogen peroxide-inducible genes activator
MAG20_00165	CDS	372				hypothetical protein
MAG20_00166	CDS	1683	bicA_1		COG0659	Bicarbonate transporter BicA
MAG20_00167	CDS	357	pspE	2.8.1.1	COG0607	Thiosulfate sulfurtransferase PspE
MAG20_00168	CDS	384	yrdA_1		COG0663	Protein YrdA
MAG20_00169	CDS	807		1.13.11.82		8'-apo-carotenoid 13,14-cleaving dioxygenase
MAG20_00170	CDS	615	rhtB		COG1280	Homoserine/homoserine lactone efflux protein
MAG20_00171	CDS	690				hypothetical protein
MAG20_00172	CDS	381				hypothetical protein
MAG20_00173	CDS	273				hypothetical protein
MAG20_00174	CDS	954				hypothetical protein
MAG20_00175	CDS	468	psiE			Protein PsiE
MAG20_00176	CDS	1173	dmdA_1	2.1.1.269		Dimethylsulfonioproprionate demethylase DmdA
MAG20_00177	CDS	1302	ycaD			putative MFS-type transporter YcaD
MAG20_00178	CDS	924	mmuM	2.1.1.10	COG2040	Homocysteine S-methyltransferase
MAG20_00179	CDS	1713	yidK		COG4146	putative symporter YidK
MAG20_00180	CDS	1224	iolX	1.1.1.370	COG0673	scyllo-inositol 2-dehydrogenase (NAD(+))
MAG20_00181	CDS	978		1.1.1.184		Aldo/keto reductase
MAG20_00182	CDS	978				hypothetical protein
MAG20_00183	CDS	1500	caiT		COG1292	L-carnitine/gamma-butyrobetaine antiporter
MAG20_00184	CDS	1743	mscS_2		COG0668	Small-conductance mechanosensitive channel
MAG20_00185	CDS	1059	aroG	2.5.1.54	COG0722	Phospho-2-dehydro-3-deoxyheptonate aldolase, Phe-sensitive
MAG20_00186	CDS	681				hypothetical protein
MAG20_00187	CDS	1929	btuB_1		COG4206	Vitamin B12 transporter BtuB
MAG20_00188	CDS	600	btuR_1	2.5.1.17	COG2109	Cob(I)yrinic acid a,c-diamide adenosyltransferase
MAG20_00189	CDS	612	dcmA	4.5.1.3		Dichloromethane dehalogenase
MAG20_00190	CDS	1101	dinB	2.7.7.7	COG0389	DNA polymerase IV
MAG20_00191	CDS	1149	yeaW_1	1.14.13.-	COG4638	Carnitine monooxygenase oxygenase subunit
MAG20_00192	CDS	579				hypothetical protein
MAG20_00193	CDS	495				hypothetical protein
MAG20_00194	CDS	222				hypothetical protein
