locus_tag	ftype	length_bp	gene	EC_number	COG	product
MAG283_00001	CDS	615				hypothetical protein
MAG283_00002	CDS	702	phoB_1		COG0745	Phosphate regulon transcriptional regulatory protein PhoB
MAG283_00003	CDS	1317	phoR	2.7.13.3		Phosphate regulon sensor protein PhoR
MAG283_00004	CDS	936	hisC_1	2.6.1.9	COG0079	Histidinol-phosphate aminotransferase
MAG283_00005	CDS	1128		2.3.1.207	COG0332	Beta-ketodecanoyl-[acyl-carrier-protein] synthase
MAG283_00006	CDS	1296	gltA	2.3.3.16	COG0372	Citrate synthase
MAG283_00007	CDS	390	sdhC		COG2009	Succinate dehydrogenase cytochrome b556 subunit
MAG283_00008	CDS	360	sdhD		COG2142	Succinate dehydrogenase hydrophobic membrane anchor subunit
MAG283_00009	CDS	1764	sdhA	1.3.5.1	COG1053	Succinate dehydrogenase flavoprotein subunit
MAG283_00010	CDS	708	sdhB	1.3.5.1	COG0479	Succinate dehydrogenase iron-sulfur subunit
MAG283_00011	CDS	2868	sucA	1.2.4.2	COG0567	2-oxoglutarate dehydrogenase E1 component
MAG283_00012	CDS	1236	sucB	2.3.1.61	COG0508	Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex
MAG283_00013	CDS	1437	lpdG	1.8.1.4	COG1249	Dihydrolipoyl dehydrogenase
MAG283_00014	CDS	1170	sucC	6.2.1.5	COG0045	Succinate--CoA ligase [ADP-forming] subunit beta
MAG283_00015	CDS	873	sucD	6.2.1.5	COG0074	Succinate--CoA ligase [ADP-forming] subunit alpha
MAG283_00016	CDS	1083				hypothetical protein
MAG283_00017	CDS	2052	htpG		COG0326	Chaperone protein HtpG
MAG283_00018	CDS	462				hypothetical protein
MAG283_00019	CDS	660	nreC_1		COG2197	Oxygen regulatory protein NreC
MAG283_00020	CDS	888		3.1.1.10		Tropinesterase
MAG283_00021	CDS	903	prmB	2.1.1.298	COG2890	50S ribosomal protein L3 glutamine methyltransferase
MAG283_00022	CDS	1119	aroC	4.2.3.5	COG0082	Chorismate synthase
MAG283_00023	CDS	231				hypothetical protein
MAG283_00024	CDS	804				hypothetical protein
MAG283_00025	CDS	225	tusA_1		COG0425	Sulfur carrier protein TusA
MAG283_00026	CDS	528	epmC	1.14.-.-	COG3101	Elongation factor P hydroxylase
MAG283_00027	CDS	1155	pdxB	1.1.1.290	COG0111	Erythronate-4-phosphate dehydrogenase
MAG283_00028	CDS	405	msrB	1.8.4.12	COG0229	Peptide methionine sulfoxide reductase MsrB
MAG283_00029	CDS	384				hypothetical protein
MAG283_00030	tRNA	76				tRNA-Gly(gcc)
MAG283_00031	tRNA	88				tRNA-Leu(taa)
MAG283_00032	CDS	471				hypothetical protein
MAG283_00033	CDS	459	bluF_1			Blue light- and temperature-regulated antirepressor BluF
MAG283_00034	CDS	735				hypothetical protein
MAG283_00035	CDS	246				hypothetical protein
MAG283_00036	CDS	588	betI_1			HTH-type transcriptional regulator BetI
MAG283_00037	CDS	240				hypothetical protein
MAG283_00038	CDS	1320	gudP			putative glucarate transporter
MAG283_00039	CDS	2274	fyuA_1		COG1629	Pesticin receptor
MAG283_00040	CDS	1653	lgoT_1			putative L-galactonate transporter
MAG283_00041	CDS	837		1.1.1.53		3-alpha-(or 20-beta)-hydroxysteroid dehydrogenase
MAG283_00042	CDS	2457	fyuA_2		COG1629	Pesticin receptor
MAG283_00043	CDS	447				hypothetical protein
MAG283_00044	CDS	459				hypothetical protein
MAG283_00045	CDS	1614	lcfB_1	6.2.1.3	COG0318	Long-chain-fatty-acid--CoA ligase
MAG283_00046	CDS	213				hypothetical protein
MAG283_00047	CDS	405				hypothetical protein
MAG283_00048	CDS	426				hypothetical protein
MAG283_00049	CDS	1212	nylB_1	3.5.1.46		6-aminohexanoate-dimer hydrolase
MAG283_00050	CDS	459				hypothetical protein
MAG283_00051	CDS	1185	ypdA	2.7.13.3	COG3275	Sensor histidine kinase YpdA
MAG283_00052	CDS	816	btsR		COG3279	Transcriptional regulatory protein BtsR
MAG283_00053	CDS	432				hypothetical protein
MAG283_00054	CDS	615				hypothetical protein
MAG283_00055	CDS	873		3.5.1.29		2-(acetamidomethylene)succinate hydrolase
MAG283_00056	CDS	1383	puuA_1	6.3.1.11	COG0174	Gamma-glutamylputrescine synthetase PuuA
MAG283_00057	CDS	774	melR			Melibiose operon regulatory protein
MAG283_00058	CDS	852				hypothetical protein
MAG283_00059	CDS	1221	gcvT_1	2.1.2.10	COG0404	Aminomethyltransferase
MAG283_00060	CDS	1623	crtI_1	1.3.99.28	COG1233	Phytoene desaturase (neurosporene-forming)
MAG283_00061	CDS	1545	crtI_2	1.3.99.31	COG1233	Phytoene desaturase (lycopene-forming)
MAG283_00062	CDS	951				hypothetical protein
MAG283_00063	CDS	279	yciI_1		COG2350	Protein YciI
MAG283_00064	CDS	477	trmL	2.1.1.207	COG0219	tRNA (cytidine(34)-2'-O)-methyltransferase
MAG283_00065	CDS	750				hypothetical protein
MAG283_00066	CDS	1113		1.-.-.-		NADH oxidase
MAG283_00067	CDS	222				hypothetical protein
MAG283_00068	CDS	792	tesE	4.2.1.132		2-hydroxyhexa-2,4-dienoate hydratase
MAG283_00069	CDS	909	bphJ	1.2.1.10	COG4569	Acetaldehyde dehydrogenase 4
MAG283_00070	CDS	1032	bphI	4.1.3.39	COG0119	4-hydroxy-2-oxovalerate aldolase 4
MAG283_00071	CDS	1314				hypothetical protein
MAG283_00072	CDS	1542	quiA	1.1.5.8	COG4993	Quinate/shikimate dehydrogenase (quinone)
MAG283_00073	CDS	432	dke1	1.13.11.50		Acetylacetone-cleaving enzyme
MAG283_00074	CDS	1173	pdhC	2.3.1.12		Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex
MAG283_00075	CDS	1899	pvaA_1	1.1.2.6		Polyvinylalcohol dehydrogenase
MAG283_00076	CDS	978	acoB	1.1.1.-	COG0022	Acetoin:2,6-dichlorophenolindophenol oxidoreductase subunit beta
MAG283_00077	CDS	978	acoA	1.1.1.-	COG1071	Acetoin:2,6-dichlorophenolindophenol oxidoreductase subunit alpha
MAG283_00078	CDS	2532	fyuA_3		COG1629	Pesticin receptor
MAG283_00079	CDS	822	cpnA_1	1.1.1.163		Cyclopentanol dehydrogenase
MAG283_00080	CDS	924				hypothetical protein
MAG283_00081	CDS	675	yfcG	1.8.4.-	COG0625	Disulfide-bond oxidoreductase YfcG
MAG283_00082	CDS	1839				hypothetical protein
MAG283_00083	CDS	1362	yeaW_1	1.14.13.-	COG4638	Carnitine monooxygenase oxygenase subunit
MAG283_00084	CDS	390				hypothetical protein
MAG283_00085	CDS	1161				hypothetical protein
MAG283_00086	CDS	417	meh	4.2.1.153	COG3777	Mesaconyl-C(4)-CoA hydratase
MAG283_00087	CDS	456				hypothetical protein
MAG283_00088	CDS	1557		6.2.1.3	COG0318	Long-chain-fatty-acid--CoA ligase FadD13
MAG283_00089	CDS	414				hypothetical protein
MAG283_00090	CDS	465				hypothetical protein
MAG283_00091	CDS	1218	camC	1.14.15.1		Camphor 5-monooxygenase
MAG283_00092	CDS	1008	yfmJ_1	1.-.-.-	COG2130	Putative NADP-dependent oxidoreductase YfmJ
MAG283_00093	CDS	819	cdsA	2.7.7.41	COG0575	Phosphatidate cytidylyltransferase
MAG283_00094	CDS	1251	dxr	1.1.1.267	COG0743	1-deoxy-D-xylulose 5-phosphate reductoisomerase
MAG283_00095	CDS	1377	rseP	3.4.24.-	COG0750	Regulator of sigma-E protease RseP
MAG283_00096	CDS	2622	bamA		COG4775	Outer membrane protein assembly factor BamA
MAG283_00097	CDS	588				hypothetical protein
MAG283_00098	CDS	1041	lpxD	2.3.1.-	COG1044	UDP-3-O-acylglucosamine N-acyltransferase
MAG283_00099	CDS	435	fabZ	4.2.1.59	COG0764	3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ
MAG283_00100	CDS	771	lpxA	2.3.1.129		Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase
MAG283_00101	CDS	1131	lpxB	2.4.1.182	COG0763	Lipid-A-disaccharide synthase
MAG283_00102	CDS	333	copA	3.6.3.54	COG2217	Copper-exporting P-type ATPase
MAG283_00103	CDS	180				hypothetical protein
MAG283_00104	CDS	735				hypothetical protein
MAG283_00105	CDS	666	glmU_1	2.3.1.157		Bifunctional protein GlmU
MAG283_00106	CDS	897	rarD		COG2962	Protein RarD
MAG283_00107	CDS	726				hypothetical protein
MAG283_00108	CDS	3348	addA	3.1.-.-	COG1074	ATP-dependent helicase/nuclease subunit A
MAG283_00109	CDS	2718	addB	3.6.4.12		ATP-dependent helicase/deoxyribonuclease subunit B
MAG283_00110	CDS	1077	aroF	2.5.1.54	COG0722	Phospho-2-dehydro-3-deoxyheptonate aldolase, Tyr-sensitive
MAG283_00111	CDS	576	nfuA		COG0316	Fe/S biogenesis protein NfuA
MAG283_00112	CDS	3699	metH	2.1.1.13	COG0646	Methionine synthase
MAG283_00113	CDS	225				hypothetical protein
MAG283_00114	CDS	111				hypothetical protein
MAG283_00115	CDS	1170	magA		COG0475	Iron transporter MagA
