locus_tag	ftype	length_bp	gene	EC_number	COG	product
MAG274_00001	CDS	189				hypothetical protein
MAG274_00002	tRNA	75				tRNA-His(gtg)
MAG274_00003	CDS	1563		3.4.11.24	COG2234	Aminopeptidase S
MAG274_00004	CDS	522				hypothetical protein
MAG274_00005	CDS	513				hypothetical protein
MAG274_00006	CDS	525				hypothetical protein
MAG274_00007	CDS	726	drgA			Protein DrgA
MAG274_00008	CDS	687				hypothetical protein
MAG274_00009	CDS	2892				hypothetical protein
MAG274_00010	CDS	756				hypothetical protein
MAG274_00011	CDS	1032	pkn1_1	2.7.11.1	COG0515	Serine/threonine-protein kinase pkn1
MAG274_00012	CDS	4125	tmoS	2.7.13.3		Sensor histidine kinase TmoS
MAG274_00013	CDS	462				hypothetical protein
MAG274_00014	CDS	492				hypothetical protein
MAG274_00015	CDS	738	truA_1	5.4.99.12	COG0101	tRNA pseudouridine synthase A
MAG274_00016	CDS	1764			COG1132	putative ABC transporter ATP-binding protein
MAG274_00017	CDS	786	cdaA	2.7.7.85	COG1624	Cyclic di-AMP synthase CdaA
MAG274_00018	CDS	834	folP	2.5.1.15	COG0294	Dihydropteroate synthase
MAG274_00019	CDS	537				hypothetical protein
MAG274_00020	CDS	1104				hypothetical protein
MAG274_00021	CDS	1071	dppB		COG0601	Dipeptide transport system permease protein DppB
MAG274_00022	CDS	753	tpiA	5.3.1.1		Triosephosphate isomerase
MAG274_00023	CDS	840	prmA	2.1.1.-	COG2264	Ribosomal protein L11 methyltransferase
MAG274_00024	CDS	1413		3.-.-.-		putative metallo-hydrolase
MAG274_00025	CDS	141				hypothetical protein
MAG274_00026	CDS	240				hypothetical protein
MAG274_00027	CDS	798	yddE	5.1.-.-	COG0384	putative isomerase YddE
MAG274_00028	CDS	1029	futA1			Iron uptake protein A1
MAG274_00029	CDS	1614				hypothetical protein
MAG274_00030	CDS	960	fbpC	3.6.3.30		Fe(3+) ions import ATP-binding protein FbpC
MAG274_00031	CDS	2133	fecA		COG4772	Fe(3+) dicitrate transport protein FecA
MAG274_00032	CDS	1422				hypothetical protein
MAG274_00033	CDS	1083				hypothetical protein
MAG274_00034	CDS	1209				hypothetical protein
MAG274_00035	CDS	669				hypothetical protein
MAG274_00036	tRNA	75				tRNA-Arg(acg)
MAG274_00037	CDS	123				hypothetical protein
MAG274_00038	CDS	375	rpsL		COG0048	30S ribosomal protein S12
MAG274_00039	CDS	477	rpsG		COG0049	30S ribosomal protein S7
MAG274_00040	CDS	2130	fusA		COG0480	Elongation factor G
MAG274_00041	CDS	306	rpsJ		COG0051	30S ribosomal protein S10
MAG274_00042	CDS	618	rplC		COG0087	50S ribosomal protein L3
MAG274_00043	CDS	630	rplD			50S ribosomal protein L4
MAG274_00044	CDS	291	rplW		COG0089	50S ribosomal protein L23
MAG274_00045	CDS	825	rplB			50S ribosomal protein L2
MAG274_00046	CDS	279	rpsS			30S ribosomal protein S19
MAG274_00047	CDS	411	rplV		COG0091	50S ribosomal protein L22
MAG274_00048	CDS	717	rpsC		COG0092	30S ribosomal protein S3
MAG274_00049	CDS	420	rplP		COG0197	50S ribosomal protein L16
MAG274_00050	CDS	192	rpmC		COG0255	50S ribosomal protein L29
MAG274_00051	CDS	258	rpsQ			30S ribosomal protein S17
MAG274_00052	CDS	369	rplN			50S ribosomal protein L14
MAG274_00053	CDS	312	rplX			50S ribosomal protein L24
MAG274_00054	CDS	552	rplE			50S ribosomal protein L5
MAG274_00055	CDS	270	rpsN2		COG0199	Alternate 30S ribosomal protein S14
MAG274_00056	CDS	399	rpsH		COG0096	30S ribosomal protein S8
MAG274_00057	CDS	543	rplF			50S ribosomal protein L6
MAG274_00058	CDS	354	rplR		COG0256	50S ribosomal protein L18
MAG274_00059	CDS	516	rpsE		COG0098	30S ribosomal protein S5
MAG274_00060	CDS	180	rpmD		COG1841	50S ribosomal protein L30
MAG274_00061	CDS	453	rplO		COG0200	50S ribosomal protein L15
MAG274_00062	CDS	1353	secY		COG0201	Protein translocase subunit SecY
MAG274_00063	CDS	216	infA		COG0361	Translation initiation factor IF-1
MAG274_00064	CDS	375	rpsM		COG0099	30S ribosomal protein S13
MAG274_00065	CDS	384	rpsK		COG0100	30S ribosomal protein S11
MAG274_00066	CDS	606	rpsD			30S ribosomal protein S4
MAG274_00067	CDS	993	rpoA	2.7.7.6	COG0202	DNA-directed RNA polymerase subunit alpha
MAG274_00068	CDS	642	rplQ		COG0203	50S ribosomal protein L17
MAG274_00069	CDS	714				hypothetical protein
MAG274_00070	CDS	1101	carA	6.3.5.5	COG0505	Carbamoyl-phosphate synthase small chain
MAG274_00071	CDS	1287	eno	4.2.1.11	COG0148	Enolase
MAG274_00072	CDS	1296	gltA2	2.3.3.16	COG0372	Citrate synthase 1
MAG274_00073	CDS	930	arcA	3.5.3.6		Arginine deiminase
MAG274_00074	CDS	924				hypothetical protein
MAG274_00075	CDS	1773	argS	6.1.1.19	COG0018	Arginine--tRNA ligase
