locus_tag	ftype	length_bp	gene	EC_number	COG	product
MAG195_00001	CDS	468				hypothetical protein
MAG195_00002	CDS	753	queE_1	4.3.99.3	COG0602	7-carboxy-7-deazaguanine synthase
MAG195_00003	CDS	744	fabG	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
MAG195_00004	CDS	225	acpA		COG0236	Acyl carrier protein
MAG195_00005	CDS	1254	fabF	2.3.1.179	COG0304	3-oxoacyl-[acyl-carrier-protein] synthase 2
MAG195_00006	CDS	933	accA	6.4.1.2	COG0825	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha
MAG195_00007	CDS	882		3.5.1.77		N-carbamoyl-D-amino acid hydrolase
MAG195_00008	CDS	1209	lnt	2.3.1.-	COG0815	Apolipoprotein N-acyltransferase
MAG195_00009	CDS	267	yajC		COG1862	Sec translocon accessory complex subunit YajC
MAG195_00010	CDS	1569	secD		COG0342	Protein translocase subunit SecD
MAG195_00011	CDS	972	secF		COG0341	Protein translocase subunit SecF
MAG195_00012	CDS	348				hypothetical protein
MAG195_00013	CDS	2472	leuS	6.1.1.4	COG0495	Leucine--tRNA ligase
MAG195_00014	CDS	504				hypothetical protein
MAG195_00015	CDS	1137	folC	6.3.2.12	COG0285	Dihydrofolate synthase/folylpolyglutamate synthase
MAG195_00016	CDS	906	mepM_1	3.4.24.-	COG0739	Murein DD-endopeptidase MepM
MAG195_00017	CDS	396				hypothetical protein
MAG195_00018	CDS	381	crcB		COG0239	Putative fluoride ion transporter CrcB
MAG195_00019	CDS	231	tatA			Sec-independent protein translocase protein TatA
MAG195_00020	CDS	1590	argS	6.1.1.19	COG0018	Arginine--tRNA ligase
MAG195_00021	CDS	1101	ychF		COG0012	Ribosome-binding ATPase YchF
MAG195_00022	CDS	1866	deaD	3.6.4.13	COG0513	ATP-dependent RNA helicase DeaD
MAG195_00023	CDS	657	yedW_1		COG0745	putative transcriptional regulatory protein YedW
MAG195_00024	CDS	1338	baeS_1	2.7.13.3	COG0642	Signal transduction histidine-protein kinase BaeS
MAG195_00025	CDS	1335	sdcS		COG0471	Sodium-dependent dicarboxylate transporter SdcS
MAG195_00026	CDS	414	aer_1		COG0840	Aerotaxis receptor
MAG195_00027	CDS	1368	tar_1		COG0840	Methyl-accepting chemotaxis protein II
MAG195_00028	CDS	522	aer_2		COG0840	Aerotaxis receptor
MAG195_00029	CDS	618				hypothetical protein
MAG195_00030	CDS	1140	prfB		COG1186	Peptide chain release factor RF2
MAG195_00031	CDS	243				hypothetical protein
MAG195_00032	CDS	864	cmoA_1	2.1.1.-		tRNA (cmo5U34)-methyltransferase
MAG195_00033	CDS	198				hypothetical protein
MAG195_00034	CDS	822	panC	6.3.2.1	COG0414	Pantothenate synthetase
MAG195_00035	CDS	1320	rimO_1	2.8.4.4	COG0621	Ribosomal protein S12 methylthiotransferase RimO
MAG195_00036	CDS	1809	rimO_2	2.8.4.4		Ribosomal protein S12 methylthiotransferase RimO
MAG195_00037	CDS	1779				hypothetical protein
MAG195_00038	CDS	921	msrA1	1.8.4.11	COG0225	Peptide methionine sulfoxide reductase MsrA 1
MAG195_00039	CDS	552	apt	2.4.2.7	COG0503	Adenine phosphoribosyltransferase
