locus_tag	ftype	length_bp	gene	EC_number	COG	product
MAG164_00001	CDS	450	rplI		COG0359	50S ribosomal protein L9
MAG164_00002	CDS	228	rpsR		COG0238	30S ribosomal protein S18
MAG164_00003	CDS	282	priB			Primosomal replication protein n
MAG164_00004	CDS	558	rpsF		COG0360	30S ribosomal protein S6
MAG164_00005	CDS	2037	uvrB		COG0556	UvrABC system protein B
MAG164_00006	CDS	990	degP	3.4.21.107	COG0265	Periplasmic serine endoprotease DegP
MAG164_00007	CDS	1206		2.6.1.1		Aspartate aminotransferase
MAG164_00008	tRNA	76				tRNA-Asn(gtt)
MAG164_00009	CDS	534				hypothetical protein
MAG164_00010	CDS	744	rlmB	2.1.1.185	COG0566	23S rRNA (guanosine-2'-O-)-methyltransferase RlmB
MAG164_00011	CDS	2250	rnr	3.1.13.1	COG0557	Ribonuclease R
MAG164_00012	CDS	252				hypothetical protein
MAG164_00013	CDS	1320	alsT_1		COG1115	Amino-acid carrier protein AlsT
MAG164_00014	CDS	411				hypothetical protein
MAG164_00015	CDS	2583	clpB		COG0542	Chaperone protein ClpB
MAG164_00016	CDS	315				hypothetical protein
MAG164_00017	CDS	303				hypothetical protein
MAG164_00018	CDS	315				hypothetical protein
MAG164_00019	CDS	216				hypothetical protein
MAG164_00020	CDS	2052			COG1629	putative TonB-dependent receptor
MAG164_00021	CDS	387				hypothetical protein
MAG164_00022	CDS	1398	dtpT		COG3104	Di-/tripeptide transporter
MAG164_00023	CDS	612				hypothetical protein
MAG164_00024	CDS	363				hypothetical protein
MAG164_00025	CDS	468				hypothetical protein
MAG164_00026	CDS	867	atpG		COG0224	ATP synthase gamma chain
MAG164_00027	CDS	1542	atpA	3.6.3.14	COG0056	ATP synthase subunit alpha
MAG164_00028	CDS	537	atpH		COG0712	ATP synthase subunit delta
MAG164_00029	CDS	471	atpF		COG0711	ATP synthase subunit b
MAG164_00030	CDS	264	atpE		COG0636	ATP synthase subunit c
MAG164_00031	CDS	807	atpB		COG0356	ATP synthase subunit a
MAG164_00032	CDS	381				hypothetical protein
MAG164_00033	CDS	852	parB		COG1475	putative chromosome-partitioning protein ParB
MAG164_00034	CDS	771	soj	3.6.-.-	COG1192	Sporulation initiation inhibitor protein Soj
MAG164_00035	CDS	618	rsmG	2.1.1.170	COG0357	Ribosomal RNA small subunit methyltransferase G
MAG164_00036	CDS	1905	mnmG		COG0445	tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG
MAG164_00037	CDS	1353	mnmE	3.6.-.-	COG0486	tRNA modification GTPase MnmE
