locus_tag	ftype	length_bp	gene	EC_number	COG	product
MAG250_00001	CDS	1842	ftsH	3.4.24.-	COG0465	ATP-dependent zinc metalloprotease FtsH
MAG250_00002	CDS	1245	rpsA		COG0539	30S ribosomal protein S1
MAG250_00003	CDS	672	pyrE	2.4.2.10	COG0461	Orotate phosphoribosyltransferase
MAG250_00004	CDS	792	asrB_1		COG0543	Anaerobic sulfite reductase subunit B
MAG250_00005	CDS	912	pyrD	1.3.1.14	COG0167	Dihydroorotate dehydrogenase B (NAD(+)), catalytic subunit
MAG250_00006	CDS	1086	argH	4.3.2.1	COG0165	Argininosuccinate lyase
MAG250_00007	CDS	312	atpF		COG0711	ATP synthase subunit b
MAG250_00008	CDS	405	atpH			ATP synthase subunit delta
MAG250_00009	CDS	1527	atpA	3.6.3.14	COG0056	ATP synthase subunit alpha
MAG250_00010	CDS	903	atpG			ATP synthase gamma chain, sodium ion specific
MAG250_00011	CDS	1374	atpD	3.6.3.14	COG0055	ATP synthase subunit beta
MAG250_00012	CDS	456	atpC		COG0355	ATP synthase epsilon chain
MAG250_00013	CDS	606	murB	1.3.1.98	COG0812	UDP-N-acetylenolpyruvoylglucosamine reductase
MAG250_00014	CDS	1011				hypothetical protein
MAG250_00015	CDS	933	prs	2.7.6.1	COG0462	Ribose-phosphate pyrophosphokinase
MAG250_00016	CDS	2691	secA		COG0653	Protein translocase subunit SecA
MAG250_00017	CDS	555				hypothetical protein
MAG250_00018	CDS	1704	secD		COG0342	Protein translocase subunit SecD
MAG250_00019	CDS	1041	secF		COG0341	Protein translocase subunit SecF
MAG250_00020	CDS	1110	sigA_1		COG0568	RNA polymerase sigma factor SigA
MAG250_00021	CDS	1575				hypothetical protein
MAG250_00022	CDS	1668				hypothetical protein
MAG250_00023	CDS	1485				hypothetical protein
MAG250_00024	CDS	918	fmt	2.1.2.9	COG0223	Methionyl-tRNA formyltransferase
MAG250_00025	CDS	504	def1	3.5.1.88		Peptide deformylase 1
MAG250_00026	CDS	258				hypothetical protein
MAG250_00027	CDS	792	hpcB	1.13.11.15	COG3384	3,4-dihydroxyphenylacetate 2,3-dioxygenase
MAG250_00028	CDS	1536				hypothetical protein
MAG250_00029	CDS	801	tarA	2.4.1.187	COG1922	N-acetylglucosaminyldiphosphoundecaprenol N-acetyl-beta-D-mannosaminyltransferase
MAG250_00030	CDS	1461	gltX	6.1.1.17	COG0008	Glutamate--tRNA ligase
MAG250_00031	CDS	1233	spoIIQ		COG0739	Stage II sporulation protein Q
MAG250_00032	CDS	210				hypothetical protein
MAG250_00033	CDS	441				hypothetical protein
MAG250_00034	CDS	387				hypothetical protein
MAG250_00035	CDS	393				hypothetical protein
MAG250_00036	CDS	963	xerD			Tyrosine recombinase XerD
MAG250_00037	CDS	864	divIB			Cell division protein DivIB
MAG250_00038	CDS	1113	ddlA	6.3.2.4	COG1181	D-alanine--D-alanine ligase A
MAG250_00039	CDS	1119	alr1	5.1.1.1	COG0787	Alanine racemase 1
MAG250_00040	CDS	1236	serS	6.1.1.11	COG0172	Serine--tRNA ligase
MAG250_00041	CDS	582		3.6.1.66		dITP/XTP pyrophosphatase
MAG250_00042	CDS	1479	lysU	6.1.1.6	COG1190	Lysine--tRNA ligase, heat inducible
MAG250_00043	CDS	264				hypothetical protein
MAG250_00044	CDS	795	wbbL_1	2.4.1.289	COG1216	N-acetylglucosaminyl-diphospho-decaprenol L-rhamnosyltransferase
MAG250_00045	CDS	1020	wbbL_2	2.4.1.289	COG1216	N-acetylglucosaminyl-diphospho-decaprenol L-rhamnosyltransferase
MAG250_00046	CDS	1473				hypothetical protein
MAG250_00047	CDS	252				hypothetical protein
MAG250_00048	CDS	858	wbbL_3	2.4.1.289	COG1216	N-acetylglucosaminyl-diphospho-decaprenol L-rhamnosyltransferase
MAG250_00049	CDS	1149	tuaH	2.4.-.-		Putative teichuronic acid biosynthesis glycosyltransferase TuaH
MAG250_00050	CDS	1152	pimB_1	2.4.1.346	COG0438	GDP-mannose-dependent alpha-(1-6)-phosphatidylinositol monomannoside mannosyltransferase
MAG250_00051	CDS	1458				hypothetical protein
MAG250_00052	CDS	444	rpsI		COG0103	30S ribosomal protein S9
MAG250_00053	CDS	384	rplM		COG0102	50S ribosomal protein L13
MAG250_00054	CDS	351	rplQ		COG0203	50S ribosomal protein L17
MAG250_00055	CDS	759	rpoA	2.7.7.6	COG0202	DNA-directed RNA polymerase subunit alpha
MAG250_00056	CDS	642	rpsD		COG0522	30S ribosomal protein S4
MAG250_00057	CDS	381	rpsK		COG0100	30S ribosomal protein S11
MAG250_00058	CDS	393	rpsM		COG0099	30S ribosomal protein S13
MAG250_00059	CDS	114	rpmJ		COG0257	50S ribosomal protein L36
MAG250_00060	CDS	237	infA		COG0361	Translation initiation factor IF-1
MAG250_00061	CDS	1752	alaS	6.1.1.7	COG0013	Alanine--tRNA ligase
MAG250_00062	CDS	642				hypothetical protein
MAG250_00063	CDS	1053	mnmA	2.8.1.13		tRNA-specific 2-thiouridylase MnmA
MAG250_00064	CDS	1329				hypothetical protein
MAG250_00065	CDS	453				hypothetical protein
MAG250_00066	CDS	486				hypothetical protein
