locus_tag	ftype	length_bp	gene	EC_number	COG	product
MAG284_00001	CDS	297				hypothetical protein
MAG284_00002	CDS	2850				hypothetical protein
MAG284_00003	CDS	1134				hypothetical protein
MAG284_00004	CDS	297				hypothetical protein
MAG284_00005	CDS	405				hypothetical protein
MAG284_00006	CDS	681	elbB	4.2.1.-	COG3155	Glyoxalase ElbB
MAG284_00007	CDS	1611	pckA	4.1.1.49	COG1866	Phosphoenolpyruvate carboxykinase (ATP)
MAG284_00008	CDS	924				hypothetical protein
MAG284_00009	CDS	615	yigZ		COG1739	IMPACT family member YigZ
MAG284_00010	CDS	480	dnaA		COG0593	Chromosomal replication initiator protein DnaA
MAG284_00011	CDS	1257				hypothetical protein
MAG284_00012	CDS	984				hypothetical protein
MAG284_00013	CDS	945				hypothetical protein
MAG284_00014	CDS	621	ctc		COG1825	General stress protein CTC
MAG284_00015	CDS	276	prs	2.7.6.1	COG0462	Ribose-phosphate pyrophosphokinase
MAG284_00016	CDS	3009	hutI_1	3.5.2.7		Imidazolonepropionase
MAG284_00017	CDS	1284	hutI_2	3.5.2.7		Imidazolonepropionase
MAG284_00018	CDS	735				hypothetical protein
MAG284_00019	CDS	678				hypothetical protein
MAG284_00020	CDS	774				hypothetical protein
MAG284_00021	CDS	537	gmhB	3.1.3.83	COG0241	D-glycero-alpha-D-manno-heptose-1,7-bisphosphate 7-phosphatase
MAG284_00022	CDS	282				hypothetical protein
MAG284_00023	CDS	189				hypothetical protein
MAG284_00024	CDS	417	rsbW	2.7.11.1		Serine-protein kinase RsbW
MAG284_00025	CDS	411	ybeY	3.1.-.-	COG0319	Endoribonuclease YbeY
MAG284_00026	CDS	1872	mnmG		COG0445	tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG
MAG284_00027	CDS	1971	ispG	1.17.7.1	COG0821	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (ferredoxin)
MAG284_00028	CDS	1299	dbpA	3.6.4.13	COG0513	ATP-dependent RNA helicase DbpA
MAG284_00029	CDS	408	paaI	3.1.2.-	COG2050	Acyl-coenzyme A thioesterase PaaI
MAG284_00030	CDS	480				hypothetical protein
MAG284_00031	CDS	282				hypothetical protein
MAG284_00032	CDS	555				hypothetical protein
MAG284_00033	CDS	843	folP	2.5.1.15	COG0294	Dihydropteroate synthase
MAG284_00034	CDS	936	dcyD	4.4.1.15	COG2515	D-cysteine desulfhydrase
MAG284_00035	CDS	186				hypothetical protein
MAG284_00036	CDS	543				hypothetical protein
MAG284_00037	CDS	576	ruvA_1	3.6.4.12	COG0632	Holliday junction ATP-dependent DNA helicase RuvA
MAG284_00038	CDS	1245	maeB_1	1.1.1.40	COG0280	NADP-dependent malic enzyme
MAG284_00039	CDS	240		1.-.-.-	COG4221	putative oxidoreductase
MAG284_00040	CDS	606	ndx1	3.6.1.61	COG0494	Diadenosine hexaphosphate hydrolase
MAG284_00041	CDS	642	pyrE	2.4.2.10		Orotate phosphoribosyltransferase
MAG284_00042	CDS	438				hypothetical protein
MAG284_00043	CDS	750	uppS	2.5.1.-		Isoprenyl transferase
MAG284_00044	CDS	291	atpC		COG0355	ATP synthase epsilon chain
MAG284_00045	CDS	1506	atpD	3.6.3.14	COG0055	ATP synthase subunit beta
MAG284_00046	CDS	1131	lolE		COG4591	Lipoprotein-releasing system transmembrane protein LolE
MAG284_00047	CDS	333	rbfA		COG0858	30S ribosome-binding factor
MAG284_00048	CDS	1842		3.6.3.-		Putative multidrug export ATP-binding/permease protein
MAG284_00049	CDS	837	mepM_1	3.4.24.-	COG0739	Murein DD-endopeptidase MepM
MAG284_00050	CDS	2442		3.4.21.50		Protease 1
MAG284_00051	CDS	426				hypothetical protein
MAG284_00052	CDS	831		1.1.1.119	COG1028	Glucose 1-dehydrogenase
MAG284_00053	CDS	381				hypothetical protein
MAG284_00054	CDS	837				hypothetical protein
MAG284_00055	CDS	774	nadE	6.3.1.5	COG0171	NH(3)-dependent NAD(+) synthetase
MAG284_00056	CDS	318	thcC			Rhodocoxin
MAG284_00057	CDS	1008				hypothetical protein
MAG284_00058	CDS	963	fmt	2.1.2.9		Methionyl-tRNA formyltransferase
MAG284_00059	CDS	273	hupB		COG0776	DNA-binding protein HU-beta
MAG284_00060	CDS	681	trmH_1	2.1.1.34	COG0566	tRNA (guanosine(18)-2'-O)-methyltransferase
MAG284_00061	CDS	246				hypothetical protein
MAG284_00062	CDS	1179		2.3.1.9		putative acetyl-CoA acyltransferase
MAG284_00063	CDS	963				hypothetical protein
MAG284_00064	CDS	654	epsM	2.3.1.-	COG0110	Putative acetyltransferase EpsM
MAG284_00065	CDS	1014	galE_1	5.1.3.2	COG1087	UDP-glucose 4-epimerase
MAG284_00066	CDS	432	yybR		COG1733	putative HTH-type transcriptional regulator YybR
MAG284_00067	CDS	444				hypothetical protein
MAG284_00068	CDS	552				hypothetical protein
MAG284_00069	CDS	420				hypothetical protein
MAG284_00070	CDS	510				hypothetical protein
MAG284_00071	CDS	585				hypothetical protein
MAG284_00072	CDS	1392				hypothetical protein
MAG284_00073	CDS	231	yjbI		COG2346	Group 2 truncated hemoglobin YjbI
MAG284_00074	CDS	564	frr		COG0233	Ribosome-recycling factor
MAG284_00075	CDS	708	pyrH	2.7.4.22	COG0528	Uridylate kinase
MAG284_00076	CDS	888			COG1073	putative protein
MAG284_00077	CDS	687				hypothetical protein
MAG284_00078	CDS	831	tsf			Elongation factor Ts
MAG284_00079	CDS	966	rpsB		COG0052	30S ribosomal protein S2
MAG284_00080	CDS	387	rpsI			30S ribosomal protein S9
MAG284_00081	CDS	456	rplM		COG0102	50S ribosomal protein L13
MAG284_00082	CDS	774	crt_1	4.2.1.150	COG1024	Short-chain-enoyl-CoA hydratase
MAG284_00083	CDS	273				hypothetical protein
MAG284_00084	CDS	960				hypothetical protein
MAG284_00085	CDS	252	purS	6.3.5.3	COG1828	Phosphoribosylformylglycinamidine synthase subunit PurS
MAG284_00086	CDS	780	pgsA	2.7.8.5		CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase
MAG284_00087	CDS	1134				hypothetical protein
MAG284_00088	CDS	207				hypothetical protein
MAG284_00089	CDS	324				hypothetical protein
MAG284_00090	CDS	1845	mutL			DNA mismatch repair protein MutL
