locus_tag	ftype	length_bp	gene	EC_number	COG	product
MAG122_00001	CDS	213				hypothetical protein
MAG122_00002	CDS	450				hypothetical protein
MAG122_00003	CDS	279				hypothetical protein
MAG122_00004	CDS	213				hypothetical protein
MAG122_00005	CDS	558				hypothetical protein
MAG122_00006	CDS	1488	trpE	4.1.3.27	COG0147	Anthranilate synthase component 1
MAG122_00007	CDS	675	gph	3.1.3.18	COG0546	Phosphoglycolate phosphatase
MAG122_00008	CDS	705	rpe	5.1.3.1	COG0036	Ribulose-phosphate 3-epimerase
MAG122_00009	CDS	807	djlA		COG1076	Co-chaperone protein DjlA
MAG122_00010	CDS	615	pspA	3.1.3.3	COG0406	Phosphoserine phosphatase 1
MAG122_00011	CDS	564	ampD	3.5.1.28	COG3023	1,6-anhydro-N-acetylmuramyl-L-alanine amidase AmpD
MAG122_00012	CDS	426				hypothetical protein
MAG122_00013	CDS	348				hypothetical protein
MAG122_00014	CDS	780				hypothetical protein
MAG122_00015	CDS	735				hypothetical protein
MAG122_00016	CDS	465				hypothetical protein
MAG122_00017	CDS	666				hypothetical protein
MAG122_00018	CDS	426	fur		COG0735	Ferric uptake regulation protein
MAG122_00019	CDS	885	galU	2.7.7.9	COG1210	UTP--glucose-1-phosphate uridylyltransferase
MAG122_00020	tRNA	77				tRNA-Met(cat)
MAG122_00021	CDS	1092	ychF		COG0012	Ribosome-binding ATPase YchF
MAG122_00022	CDS	582	pth	3.1.1.29	COG0193	Peptidyl-tRNA hydrolase
MAG122_00023	CDS	660	rplY			50S ribosomal protein L25
MAG122_00024	CDS	963	prs	2.7.6.1	COG0462	Ribose-phosphate pyrophosphokinase
MAG122_00025	tRNA	74				tRNA-Gln(ttg)
MAG122_00026	CDS	666	lolB		COG3017	Outer-membrane lipoprotein LolB
MAG122_00027	CDS	1737	bepA_1	3.4.-.-		Beta-barrel assembly-enhancing protease
MAG122_00028	CDS	1248	hemA	1.2.1.70	COG0373	Glutamyl-tRNA reductase
MAG122_00029	CDS	1095	prfA		COG0216	Peptide chain release factor RF1
MAG122_00030	CDS	864	prmC	2.1.1.297	COG2890	Release factor glutamine methyltransferase
MAG122_00031	CDS	807	moeB	2.7.7.80	COG0476	Molybdopterin-synthase adenylyltransferase
MAG122_00032	CDS	2292	parC	5.99.1.3	COG0188	DNA topoisomerase 4 subunit A
MAG122_00033	CDS	4242	rapA	3.6.4.-		RNA polymerase-associated protein RapA
MAG122_00034	CDS	1887	parE	5.99.1.3	COG0187	DNA topoisomerase 4 subunit B
MAG122_00035	CDS	510				hypothetical protein
MAG122_00036	CDS	231	xseB_1	3.1.11.6	COG1722	Exodeoxyribonuclease 7 small subunit
MAG122_00037	CDS	876	ispA_1	2.5.1.10	COG0142	Farnesyl diphosphate synthase
MAG122_00038	CDS	1875	dxs_1	2.2.1.7	COG1154	1-deoxy-D-xylulose-5-phosphate synthase
MAG122_00039	CDS	393	queD_1	4.1.2.50	COG0720	6-carboxy-5,6,7,8-tetrahydropterin synthase
MAG122_00040	CDS	798	folE2_1	3.5.4.16	COG1469	GTP cyclohydrolase FolE2
MAG122_00041	CDS	2019	amt_1			Ammonia channel
MAG122_00042	CDS	582	kdsC_1	3.1.3.45	COG1778	3-deoxy-D-manno-octulosonate 8-phosphate phosphatase KdsC
MAG122_00043	CDS	606	lptC_1			Lipopolysaccharide export system protein LptC
MAG122_00044	CDS	537	lptA_1		COG1934	Lipopolysaccharide export system protein LptA
MAG122_00045	CDS	741	lptB_1	3.6.3.-	COG1137	Lipopolysaccharide export system ATP-binding protein LptB
MAG122_00046	CDS	1491	rpoN_1		COG1508	RNA polymerase sigma-54 factor
MAG122_00047	CDS	291	hpf_1		COG1544	Ribosome hibernation promoting factor
MAG122_00048	CDS	1758	ptsI_1	2.7.3.9	COG1080	Phosphoenolpyruvate-protein phosphotransferase
MAG122_00049	CDS	1359			COG2239	Magnesium transporter MgtE
MAG122_00050	CDS	1359	pmbA_1	3.4.-.-	COG0312	Metalloprotease PmbA
MAG122_00051	CDS	1458	tldD_1	3.4.-.-	COG0312	Metalloprotease TldD
MAG122_00052	CDS	3969				hypothetical protein
MAG122_00053	CDS	1488	rng	3.1.26.-	COG1530	Ribonuclease G
MAG122_00054	CDS	471	rlmH	2.1.1.177	COG1576	Ribosomal RNA large subunit methyltransferase H
MAG122_00055	CDS	342	rsfS			Ribosomal silencing factor RsfS
MAG122_00056	CDS	576	nadD	2.7.7.18	COG1057	Nicotinate-nucleotide adenylyltransferase
MAG122_00057	CDS	1257	proA	1.2.1.41		Gamma-glutamyl phosphate reductase
MAG122_00058	CDS	1008	holA	2.7.7.7	COG1466	DNA polymerase III subunit delta
MAG122_00059	CDS	555	lptE			LPS-assembly lipoprotein LptE
MAG122_00060	CDS	2496	leuS	6.1.1.4	COG0495	Leucine--tRNA ligase
MAG122_00061	CDS	528				hypothetical protein
MAG122_00062	CDS	1386	dbpA	3.6.4.13	COG0513	ATP-dependent RNA helicase DbpA
MAG122_00063	CDS	981	rluD	5.4.99.23	COG0564	Ribosomal large subunit pseudouridine synthase D
MAG122_00064	CDS	876	bamD_1		COG4105	Outer membrane protein assembly factor BamD
MAG122_00065	CDS	1665	nadE_1	6.3.5.1	COG0171	Glutamine-dependent NAD(+) synthetase
MAG122_00066	CDS	981	hemH_1	4.99.1.1	COG0276	Ferrochelatase
